t_ms,temp_C,arm_MHz,throttle_bits,rail_3V7_WL_SW_A current(0),rail_3V3_SYS_A current(1),rail_1V8_SYS_A current(2),rail_DDR_VDD2_A current(3),rail_DDR_VDDQ_A current(4),rail_1V1_SYS_A current(5),rail_0V8_SW_A current(6),rail_VDD_CORE_A current(7),rail_3V3_DAC_A current(17),rail_3V3_ADC_A current(18),rail_0V8_AON_A current(16),rail_HDMI_A current(22),rail_3V7_WL_SW_V volt(8),rail_3V3_SYS_V volt(9),rail_1V8_SYS_V volt(10),rail_DDR_VDD2_V volt(11),rail_DDR_VDDQ_V volt(12),rail_1V1_SYS_V volt(13),rail_0V8_SW_V volt(14),rail_VDD_CORE_V volt(15),rail_3V3_DAC_V volt(20),rail_3V3_ADC_V volt(21),rail_0V8_AON_V volt(19),rail_HDMI_V volt(23),rail_EXT5V_V volt(24),rail_BATT_V volt(25)
86040.65072000958,57.1,2400,327680,0.09661707,0.05562801,0.1834748,0.02244639,0.0,0.1873786,0.3513348,2.91118,0.0,0.0,0.003663,0.0139194,3.663586,3.320241,1.804638,1.112087,0.6014646,1.102929,0.8040285,0.9283507,3.318678,3.311352,0.8008783,4.94996,4.94058,0.0
91093.34829699947,57.6,1600,327680,0.0,0.05367615,0.1707878,0.00487965,0.0,0.1893304,0.3435274,1.11625,0.0,0.0,0.0030525,0.0136752,3.704416,3.319313,1.80415,1.107325,0.6113547,1.110622,0.8025633,0.8184852,3.318678,3.313183,0.8005854,5.02634,5.01964,0.0
96152.48461003648,59.3,2400,327680,0.00292779,0.06050766,0.1971379,0.1756674,0.0083334,0.1893304,0.4245296,5.08117,0.0,0.0002442,0.003663,0.0130647,3.61626,3.322097,1.80415,1.106959,0.6032961,1.107691,0.8014644,0.9286194,3.317762,3.310436,0.8005854,4.9044,4.83874,0.0
101211.67834900552,57.1,1500,327680,0.1005208,0.05757987,0.16786,0.00683151,0.0,0.1854267,0.3386477,1.16983,0.0,0.0,0.0031746,0.0139194,3.687713,3.318385,1.80415,1.112087,0.6106221,1.104394,0.8025633,0.8182165,3.317762,3.312268,0.8017574,5.0116,5.00624,0.0
106267.98815402435,63.1,2400,327680,0.00195186,0.09368929,0.2176324,0.1200394,0.0034314,0.2029934,0.4303852,5.822359,0.0,0.0,0.00311355,0.0136752,3.6209,3.320241,1.803173,1.113918,0.6036624,1.108424,0.8014644,0.9278135,3.317762,3.311352,0.8002922,4.84544,4.8441,0.0
111327.5473540416,59.8,2400,327680,0.1014967,0.05562801,0.1776193,0.05367615,0.0019608,0.1873786,0.4450241,3.77739,0.0001221,6.105e-05,0.0031746,0.0128205,3.6209,3.321169,1.80415,1.109523,0.6047613,1.104394,0.802197,0.9280821,3.318678,3.313183,0.8008783,4.8776,4.89234,0.0
116397.18457101844,60.4,1500,327680,0.1014967,0.05660394,0.1717637,0.01073523,0.0,0.1883545,0.3464552,1.19662,0.0,0.0002442,0.00335775,0.0136752,3.681217,3.319313,1.803661,1.112087,0.6054939,1.107325,0.8054938,0.8179479,3.317762,3.312268,0.8017574,5.00758,5.00624,0.0
121452.95855100267,57.1,2300,327680,0.0,0.05270022,0.1746915,0.03220569,0.0,0.1903064,0.3523108,2.79509,0.0,6.105e-05,0.0034188,0.0133089,3.678433,3.318385,1.805126,1.10586,0.6032961,1.110622,0.8087904,0.9286194,3.317762,3.311352,0.8005854,4.96202,4.95666,0.0
126506.58196001314,55.4,2400,327680,0.01073523,0.0712429,0.1766433,0.03122976,0.0034314,0.1893304,0.3454792,2.64328,0.0,0.0,0.0039072,0.0141636,3.681217,3.319313,1.80415,1.111354,0.6003657,1.110622,0.8018308,0.9283507,3.317762,3.312268,0.8008783,4.97542,4.9714,0.0
131555.9243010357,60.9,2400,327680,0.01268709,0.05270022,0.1737155,0.0097593,0.0,0.1903064,0.3445033,1.56275,0.0,6.105e-05,0.003663,0.0137973,3.699776,3.319313,1.80415,1.110255,0.6032961,1.102929,0.8029296,0.9036377,3.317762,3.310436,0.8017574,5.0116,5.00624,0.0
136610.03363400232,58.7,2400,327680,0.00292779,0.05270022,0.1932341,0.166884,0.0078432,0.1893304,0.4391685,6.26886,0.0,0.0,0.00311355,0.0130647,3.621828,3.320241,1.804638,1.107325,0.6036624,1.107691,0.8029296,0.9270077,3.317762,3.311352,0.8011714,4.90574,4.8441,0.0
141684.72317804117,57.1,1500,327680,0.00097593,0.05465208,0.1698118,0.00487965,0.0,0.1883545,0.3445033,0.9822999,0.0,0.0,0.00335775,0.0139194,3.693281,3.317457,1.804638,1.113552,0.6146514,1.101464,0.8051274,0.7220506,3.317762,3.311352,0.8011714,5.03304,5.02902,0.0
146744.45045902394,63.1,2400,327680,0.0,0.0585558,0.1854267,0.1883545,0.0053922,0.1864026,0.4235536,5.19726,0.0,6.105e-05,0.0034188,0.0131868,3.636675,3.318385,1.803661,1.10879,0.604395,1.107691,0.8025633,0.9294252,3.317762,3.312268,0.8011714,4.8776,4.87492,0.0
151798.12337300973,62.0,2400,327680,0.09856894,0.05465208,0.181523,0.09564114,0.0,0.1893304,0.3991554,6.21528,0.0,0.0,0.00311355,0.0131868,3.607908,3.319313,1.80415,1.112453,0.604395,1.110622,0.8032959,0.9280821,3.319594,3.311352,0.8005854,4.85482,4.85348,0.0
156855.92611902393,57.6,1600,327680,0.1034486,0.05270022,0.1659081,0.01073523,0.0,0.1864026,0.3415755,0.9912299,0.0,0.0,0.0035409,0.0135531,3.693281,3.317457,1.80415,1.113918,0.6135525,1.102929,0.8003655,0.7223192,3.317762,3.312268,0.8008783,5.02098,5.01696,0.0
161913.31074101618,63.7,2400,327680,0.0,0.06148359,0.1971379,0.1864026,0.0014706,0.1912823,0.4235536,7.34939,0.0,0.0,0.00311355,0.0129426,3.610692,3.318385,1.805126,1.106592,0.6065928,1.103662,0.8018308,0.9294252,3.317762,3.312268,0.8005854,4.78246,4.78782,0.0
