path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
features.6.0.block.0.0,29f4a9438d24eed6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 112, ""kernel_size"": [1, 1], ""out_channels"": 672, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 112, 40, 40]]","[""torch.float32""]","[[1, 672, 40, 40]]",features.6.0.block.0.0,forward,True,75264,120422400,5318656,22.6415,1600,1600,25,6.44,6.1656,1.0889
features.6.0.block.0.1,f3d470d79479a473,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 1e-05, ""has_bias"": true, ""momentum"": 0.1}","[[1, 672, 40, 40]]","[""torch.float32""]","[[1, 672, 40, 40]]",features.6.0.block.0.1,forward,True,1344,2150400,8606976,0.2498,1600,1600,25,1.4772,1.4261,0.284
features.6.0.block.0.2,a1b63ffd02b16423,SiLU,"{""class"": ""SiLU""}","[[1, 672, 40, 40]]","[""torch.float32""]","[[1, 672, 40, 40]]",features.6.0.block.0.2,forward,True,0,1075200,8601600,0.125,1600,1600,25,1.4654,1.3404,0.34
features.6.0.block.1,9f9392023254b85e,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 672, 40, 40]]","[""torch.float32""]","[[1, 672, 20, 20]]",features.6.0.block.1,forward,False,18144,,5448576,,1,1,25,5.9936,6.0373,0.3596
features.6.0.block.1.0,c38b0514dabdb638,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 672, ""has_bias"": false, ""in_channels"": 672, ""kernel_size"": [5, 5], ""out_channels"": 672, ""padding"": [2, 2], ""stride"": [2, 2]}","[[1, 672, 40, 40]]","[""torch.float32""]","[[1, 672, 20, 20]]",features.6.0.block.1.0,forward,True,16800,6720000,5443200,1.2346,1600,1600,25,5.0416,5.0859,0.3701
features.6.0.block.1.1,c05e579ccc48243f,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 1e-05, ""has_bias"": true, ""momentum"": 0.1}","[[1, 672, 20, 20]]","[""torch.float32""]","[[1, 672, 20, 20]]",features.6.0.block.1.1,forward,True,1344,537600,2155776,0.2494,400,400,25,0.3832,0.3186,0.1883
features.6.0.block.1.2,2af58d57b13c7b57,SiLU,"{""class"": ""SiLU""}","[[1, 672, 20, 20]]","[""torch.float32""]","[[1, 672, 20, 20]]",features.6.0.block.1.2,forward,True,0,268800,2150400,0.125,400,400,25,0.333,0.339,0.0511
features.6.0.block.2,06004b0cf3d02335,SqueezeExcitation,"{""class"": ""SqueezeExcitation""}","[[1, 672, 20, 20]]","[""torch.float32""]","[[1, 672, 20, 20]]",features.6.0.block.2,forward,False,38332,,2303728,,1,1,25,1.0856,0.9935,0.3047
features.6.0.block.2.avgpool,89e727ff89c2087a,AdaptiveAvgPool2d,"{""class"": ""AdaptiveAvgPool2d""}","[[1, 672, 20, 20]]","[""torch.float32""]","[[1, 672, 1, 1]]",features.6.0.block.2.avgpool,forward,True,0,,1077888,,1,1,25,0.1657,0.1598,0.0233
features.6.0.block.2.fc1,224787c3b09c1682,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 672, ""kernel_size"": [1, 1], ""out_channels"": 28, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 672, 1, 1]]","[""torch.float32""]","[[1, 28, 1, 1]]",features.6.0.block.2.fc1,forward,True,18844,18816,78176,0.2407,1,1,25,0.098,0.0937,0.0108
