path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
features.3.block.0.0,688c62b9be71315f,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 24, ""kernel_size"": [1, 1], ""out_channels"": 88, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 24, 80, 80]]","[""torch.float32""]","[[1, 88, 80, 80]]",features.3.block.0.0,forward,True,2112,13516800,2875648,4.7004,6400,6400,25,4.2748,4.2781,0.2712
features.3.block.0.1,2fa44d4450b34882,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","[[1, 88, 80, 80]]","[""torch.float32""]","[[1, 88, 80, 80]]",features.3.block.0.1,forward,True,176,1126400,4506304,0.25,6400,6400,25,0.7753,0.7459,0.0815
features.3.block.0.2,7b3957fc9c64084f,ReLU,"{""class"": ""ReLU""}","[[1, 88, 80, 80]]","[""torch.float32""]","[[1, 88, 80, 80]]",features.3.block.0.2,forward,True,0,563200,4505600,0.125,1,1,25,0.5535,0.4761,0.197
features.3.block.1,bc5bd5dec00129cc,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 88, 80, 80]]","[""torch.float32""]","[[1, 88, 80, 80]]",features.3.block.1,forward,False,968,,4509472,,1,1,25,7.4635,7.4558,0.7795
features.3.block.1.0,6037eae22452657b,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 88, ""has_bias"": false, ""in_channels"": 88, ""kernel_size"": [3, 3], ""out_channels"": 88, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 88, 80, 80]]","[""torch.float32""]","[[1, 88, 80, 80]]",features.3.block.1.0,forward,True,792,5068800,4508768,1.1242,6400,6400,25,5.6914,5.4971,0.6708
features.3.block.1.1,2fa44d4450b34882,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","[[1, 88, 80, 80]]","[""torch.float32""]","[[1, 88, 80, 80]]",features.3.block.1.1,forward,True,176,1126400,4506304,0.25,6400,6400,25,0.9675,0.8248,0.2692
features.3.block.1.2,7b3957fc9c64084f,ReLU,"{""class"": ""ReLU""}","[[1, 88, 80, 80]]","[""torch.float32""]","[[1, 88, 80, 80]]",features.3.block.1.2,forward,True,0,563200,4505600,0.125,1,1,25,0.5826,0.4764,0.1961
features.3.block.2,bc5bd5dec00129cc,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 88, 80, 80]]","[""torch.float32""]","[[1, 24, 80, 80]]",features.3.block.2,forward,False,2160,,2875840,,1,1,25,3.8615,3.463,0.817
features.3.block.2.0,d34565d478a60ade,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 88, ""kernel_size"": [1, 1], ""out_channels"": 24, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 88, 80, 80]]","[""torch.float32""]","[[1, 24, 80, 80]]",features.3.block.2.0,forward,True,2112,13516800,2875648,4.7004,6400,6400,25,3.4129,3.0271,0.7514
features.3.block.2.1,efef99e242d563ec,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","[[1, 24, 80, 80]]","[""torch.float32""]","[[1, 24, 80, 80]]",features.3.block.2.1,forward,True,48,307200,1228992,0.25,6400,6400,25,0.3071,0.2355,0.157
features.4,96f9329089b42f1e,InvertedResidual,"{""class"": ""InvertedResidual""}","[[1, 24, 80, 80]]","[""torch.float32""]","[[1, 40, 40, 40]]",features.4,forward,False,13736,,925344,,1,1,25,11.9441,11.5237,1.6826
features.4.block,f49e7ba7db4c6256,Sequential,"{""class"": ""Sequential""}","[[1, 24, 80, 80]]","[""torch.float32""]","[[1, 40, 40, 40]]",features.4.block,forward,False,13736,,925344,,1,1,25,11.9072,11.4876,1.6813
features.4.block.0,0e91597f7f9349c5,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 24, 80, 80]]","[""torch.float32""]","[[1, 96, 80, 80]]",features.4.block.0,forward,False,2496,,3081984,,1,1,25,6.3999,6.212,1.0055
features.4.block.0.0,ecf586b5f1999513,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 24, ""kernel_size"": [1, 1], ""out_channels"": 96, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 24, 80, 80]]","[""torch.float32""]","[[1, 96, 80, 80]]",features.4.block.0.0,forward,True,2304,14745600,3081216,4.7856,6400,6400,25,4.9549,4.9845,0.78
features.4.block.0.1,dd29d2dd428813bf,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","[[1, 96, 80, 80]]","[""torch.float32""]","[[1, 96, 80, 80]]",features.4.block.0.1,forward,True,192,1228800,4915968,0.25,6400,6400,25,0.744,0.6254,0.2373
features.4.block.0.2,827e9bc52fc9e903,Hardswish,"{""class"": ""Hardswish""}","[[1, 96, 80, 80]]","[""torch.float32""]","[[1, 96, 80, 80]]",features.4.block.0.2,forward,True,0,,4915200,,1,1,25,0.4873,0.4084,0.1977
features.4.block.1,466d826805ee9eed,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 96, 80, 80]]","[""torch.float32""]","[[1, 96, 40, 40]]",features.4.block.1,forward,False,2592,,3082368,,1,1,25,3.2702,3.2192,0.5231
features.4.block.1.0,db888f4d69665d68,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 96, ""has_bias"": false, ""in_channels"": 96, ""kernel_size"": [5, 5], ""out_channels"": 96, ""padding"": [2, 2], ""stride"": [2, 2]}","[[1, 96, 80, 80]]","[""torch.float32""]","[[1, 96, 40, 40]]",features.4.block.1.0,forward,True,2400,3840000,3081600,1.2461,6400,6400,25,2.7279,2.6873,0.5311
features.4.block.1.1,d3a1c9287fdd2868,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","[[1, 96, 40, 40]]","[""torch.float32""]","[[1, 96, 40, 40]]",features.4.block.1.1,forward,True,192,307200,1229568,0.2498,1600,1600,25,0.2403,0.2394,0.0102
features.4.block.1.2,7538d65ec1b451ca,Hardswish,"{""class"": ""Hardswish""}","[[1, 96, 40, 40]]","[""torch.float32""]","[[1, 96, 40, 40]]",features.4.block.1.2,forward,True,0,,1228800,,1,1,25,0.1112,0.1116,0.0025
features.4.block.2,fdcdc0460b0a1c07,SqueezeExcitation,"{""class"": ""SqueezeExcitation""}","[[1, 96, 40, 40]]","[""torch.float32""]","[[1, 96, 40, 40]]",features.4.block.2,forward,False,4728,,1247712,,1,1,25,0.6923,0.6012,0.2151
features.4.block.2.avgpool,d1fb210e4d8f2d21,AdaptiveAvgPool2d,"{""class"": ""AdaptiveAvgPool2d""}","[[1, 96, 40, 40]]","[""torch.float32""]","[[1, 96, 1, 1]]",features.4.block.2.avgpool,forward,True,0,,614784,,1,1,25,0.119,0.115,0.0158
features.4.block.2.fc1,74f1ce806b4c5f04,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 96, ""kernel_size"": [1, 1], ""out_channels"": 24, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 96, 1, 1]]","[""torch.float32""]","[[1, 24, 1, 1]]",features.4.block.2.fc1,forward,True,2328,2304,9792,0.2353,1,1,25,0.0808,0.0788,0.0047
features.4.block.2.fc2,30d77d53845d3df8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 24, ""kernel_size"": [1, 1], ""out_channels"": 96, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 24, 1, 1]]","[""torch.float32""]","[[1, 96, 1, 1]]",features.4.block.2.fc2,forward,True,2400,2304,10080,0.2286,1,1,25,0.052,0.0465,0.0151
features.4.block.2.activation,c9e60b882ff2bca1,ReLU,"{""class"": ""ReLU""}","[[1, 24, 1, 1]]","[""torch.float32""]","[[1, 24, 1, 1]]",features.4.block.2.activation,forward,True,0,24,192,0.125,1,1,25,0.0219,0.0214,0.0016
features.4.block.2.scale_activation,079668efb2bac06c,Hardsigmoid,"{""class"": ""Hardsigmoid""}","[[1, 96, 1, 1]]","[""torch.float32""]","[[1, 96, 1, 1]]",features.4.block.2.scale_activation,forward,True,0,,768,,1,1,25,0.0288,0.0191,0.0246
features.4.block.3,26df5689a649cb7d,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 96, 40, 40]]","[""torch.float32""]","[[1, 40, 40, 40]]",features.4.block.3,forward,False,3920,,886080,,1,1,25,1.3337,0.9294,0.839
features.4.block.3.0,6dc2daeac6fde83c,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 96, ""kernel_size"": [1, 1], ""out_channels"": 40, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 96, 40, 40]]","[""torch.float32""]","[[1, 40, 40, 40]]",features.4.block.3.0,forward,True,3840,6144000,885760,6.9364,1600,1600,25,1.0559,0.7363,0.6929
features.4.block.3.1,5ac5be9b85e97f40,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","[[1, 40, 40, 40]]","[""torch.float32""]","[[1, 40, 40, 40]]",features.4.block.3.1,forward,True,80,128000,512320,0.2498,1600,1600,25,0.1662,0.0849,0.1959
features.5,1771731cbdbcdc35,InvertedResidual,"{""class"": ""InvertedResidual""}","[[1, 40, 40, 40]]","[""torch.float32""]","[[1, 40, 40, 40]]",features.5,forward,False,57264,,741056,,1,1,25,10.8575,10.5764,0.92
features.5.block,4c3e0e4a91ff9182,Sequential,"{""class"": ""Sequential""}","[[1, 40, 40, 40]]","[""torch.float32""]","[[1, 40, 40, 40]]",features.5.block,forward,False,57264,,741056,,1,1,25,10.7204,10.4443,0.9227
features.5.block.0,cf25c29947600f5a,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 40, 40, 40]]","[""torch.float32""]","[[1, 240, 40, 40]]",features.5.block.0,forward,False,10080,,1832320,,1,1,25,2.9891,2.8546,0.3644
features.5.block.0.0,f384b48289b1fa3a,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 40, ""kernel_size"": [1, 1], ""out_channels"": 240, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 40, 40, 40]]","[""torch.float32""]","[[1, 240, 40, 40]]",features.5.block.0.0,forward,True,9600,15360000,1830400,8.3916,1600,1600,25,1.8663,1.6318,0.3791
features.5.block.0.1,669892f8064dc3f7,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","[[1, 240, 40, 40]]","[""torch.float32""]","[[1, 240, 40, 40]]",features.5.block.0.1,forward,True,480,768000,3073920,0.2498,1600,1600,25,0.5471,0.5469,0.0405
features.5.block.0.2,339d9b2eca04c6a5,Hardswish,"{""class"": ""Hardswish""}","[[1, 240, 40, 40]]","[""torch.float32""]","[[1, 240, 40, 40]]",features.5.block.0.2,forward,True,0,,3072000,,1,1,25,0.3718,0.2767,0.2128
features.5.block.1,c8c684894f69990b,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 240, 40, 40]]","[""torch.float32""]","[[1, 240, 40, 40]]",features.5.block.1,forward,False,6480,,3097920,,1,1,25,3.9247,3.8518,0.8755
features.5.block.1.0,1fce3dab9ed83162,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 240, ""has_bias"": false, ""in_channels"": 240, ""kernel_size"": [5, 5], ""out_channels"": 240, ""padding"": [2, 2], ""stride"": [1, 1]}","[[1, 240, 40, 40]]","[""torch.float32""]","[[1, 240, 40, 40]]",features.5.block.1.0,forward,True,6000,9600000,3096000,3.1008,1600,1600,25,2.9417,2.7567,0.7855
features.5.block.1.1,669892f8064dc3f7,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","[[1, 240, 40, 40]]","[""torch.float32""]","[[1, 240, 40, 40]]",features.5.block.1.1,forward,True,480,768000,3073920,0.2498,1600,1600,25,0.5051,0.4373,0.1876
features.5.block.1.2,339d9b2eca04c6a5,Hardswish,"{""class"": ""Hardswish""}","[[1, 240, 40, 40]]","[""torch.float32""]","[[1, 240, 40, 40]]",features.5.block.1.2,forward,True,0,,3072000,,1,1,25,0.2624,0.2149,0.1136
features.5.block.2,8a4ad85e043d78ef,SqueezeExcitation,"{""class"": ""SqueezeExcitation""}","[[1, 240, 40, 40]]","[""torch.float32""]","[[1, 240, 40, 40]]",features.5.block.2,forward,False,31024,,3196096,,1,1,25,1.6423,1.5886,0.6595
features.5.block.2.avgpool,3e0d655132d083f4,AdaptiveAvgPool2d,"{""class"": ""AdaptiveAvgPool2d""}","[[1, 240, 40, 40]]","[""torch.float32""]","[[1, 240, 1, 1]]",features.5.block.2.avgpool,forward,True,0,,1536960,,1,1,25,0.3015,0.2404,0.1446
features.5.block.2.fc1,f554427f42e6f694,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 240, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 240, 1, 1]]","[""torch.float32""]","[[1, 64, 1, 1]]",features.5.block.2.fc1,forward,True,15424,15360,62912,0.2442,1,1,25,0.0976,0.093,0.0161
features.5.block.2.fc2,9eccc18ff6d17887,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 240, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 64, 1, 1]]","[""torch.float32""]","[[1, 240, 1, 1]]",features.5.block.2.fc2,forward,True,15600,15360,63616,0.2414,1,1,25,0.0743,0.0602,0.0315
features.5.block.2.activation,a281f8ec82428316,ReLU,"{""class"": ""ReLU""}","[[1, 64, 1, 1]]","[""torch.float32""]","[[1, 64, 1, 1]]",features.5.block.2.activation,forward,True,0,64,512,0.125,1,1,25,0.0348,0.0276,0.0179
features.5.block.2.scale_activation,c7d38d47a67bbe7b,Hardsigmoid,"{""class"": ""Hardsigmoid""}","[[1, 240, 1, 1]]","[""torch.float32""]","[[1, 240, 1, 1]]",features.5.block.2.scale_activation,forward,True,0,,1920,,1,1,25,0.039,0.0254,0.0253
features.5.block.3,c8c684894f69990b,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 240, 40, 40]]","[""torch.float32""]","[[1, 40, 40, 40]]",features.5.block.3,forward,False,9680,,1830720,,1,1,25,1.9212,1.7591,0.3115
features.5.block.3.0,e4d198a5ffd6136f,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 240, ""kernel_size"": [1, 1], ""out_channels"": 40, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 240, 40, 40]]","[""torch.float32""]","[[1, 40, 40, 40]]",features.5.block.3.0,forward,True,9600,15360000,1830400,8.3916,1600,1600,25,1.638,1.4725,0.3111
features.5.block.3.1,5ac5be9b85e97f40,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","[[1, 40, 40, 40]]","[""torch.float32""]","[[1, 40, 40, 40]]",features.5.block.3.1,forward,True,80,128000,512320,0.2498,1600,1600,25,0.1508,0.1514,0.0125
features.6,1771731cbdbcdc35,InvertedResidual,"{""class"": ""InvertedResidual""}","[[1, 40, 40, 40]]","[""torch.float32""]","[[1, 40, 40, 40]]",features.6,forward,False,57264,,741056,,1,1,25,10.8158,10.4298,0.7575
