config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,t_eff,seq_len,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,baseline_interp_W,P_delta_ABAB_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
451889d76828c572,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","{'args': [{'k': 'tensor', 'shape': [1, 288, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 460800}], 'kwargs': {}}","[[1, 288, 20, 20]]","[""torch.float32""]",230400,923904,400,400,2.543,15944,0.1254,5.026088,4.230687,0.853592,4.172496,0.530703,57.6,58.7,2200,2400,313,False,,
9b4c14b532edc2bd,Hardswish,"{""class"": ""Hardswish""}","{'args': [{'k': 'tensor', 'shape': [1, 288, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 460800}], 'kwargs': {}}","[[1, 288, 20, 20]]","[""torch.float32""]",,921600,1,1,2.542,25153,0.0795,4.970261,4.174861,0.829958,4.140303,0.331952,57.1,59.3,1600,2200,324,False,,
8f9a933f2c081d36,AdaptiveAvgPool2d,"{""class"": ""AdaptiveAvgPool2d""}","{'args': [{'k': 'tensor', 'shape': [1, 288, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 460800}], 'kwargs': {}}","[[1, 288, 20, 20]]","[""torch.float32""]",,461952,1,1,2.542,16263,0.123,4.36332,3.567919,0.953254,3.410065,0.438778,58.7,58.7,1800,2100,372,False,,
095da1c791aff674,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 288, ""kernel_size"": [1, 1], ""out_channels"": 72, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 288, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1152}], 'kwargs': {}}","[[1, 288, 1, 1]]","[""torch.float32""]",20736,84672,1,1,2.543,29856,0.067,2.786694,1.991293,0.80361,1.983084,0.133394,57.1,56.5,1500,2400,456,False,,
b7b32ff7318455ba,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 72, ""kernel_size"": [1, 1], ""out_channels"": 288, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 72, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 288}], 'kwargs': {}}","[[1, 72, 1, 1]]","[""torch.float32""]",20736,85536,1,1,2.544,29863,0.067,2.774976,1.979575,0.784374,1.990602,0.132575,56.0,54.9,1600,2400,452,False,,
aa6953a433e1e1f0,ReLU,"{""class"": ""ReLU""}","{'args': [{'k': 'tensor', 'shape': [1, 72, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 288}], 'kwargs': {}}","[[1, 72, 1, 1]]","[""torch.float32""]",72,576,1,1,2.544,45510,0.0439,2.581571,1.78617,0.816887,1.764683,0.078494,54.9,54.3,1700,2400,414,False,,
b855fcf679447d74,Hardsigmoid,"{""class"": ""Hardsigmoid""}","{'args': [{'k': 'tensor', 'shape': [1, 288, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1152}], 'kwargs': {}}","[[1, 288, 1, 1]]","[""torch.float32""]",,2304,1,1,2.545,76229,0.0262,2.60927,1.813869,0.814159,1.795111,0.047589,55.4,54.3,1600,2400,424,False,,
340fbc704061ed95,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 288, ""kernel_size"": [1, 1], ""out_channels"": 96, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 288, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 460800}], 'kwargs': {}}","[[1, 288, 20, 20]]","[""torch.float32""]",11059200,724992,400,400,2.544,3291,0.6077,5.744865,4.949464,0.812144,4.932722,3.007859,54.9,56.0,2200,2400,301,False,,
014aa7b3fe9712f8,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","{'args': [{'k': 'tensor', 'shape': [1, 96, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 153600}], 'kwargs': {}}","[[1, 96, 20, 20]]","[""torch.float32""]",76800,307968,400,400,2.547,19515,0.1025,4.494249,3.698848,0.824461,3.669788,0.379083,56.5,57.1,1600,2200,359,False,,
d870b8e65c9b68c6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 96, ""kernel_size"": [1, 1], ""out_channels"": 576, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 96, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 153600}], 'kwargs': {}}","[[1, 96, 20, 20]]","[""torch.float32""]",22118400,1296384,400,400,2.544,1147,1.7443,4.828439,4.033038,0.797551,4.030888,7.034757,57.1,58.2,2300,2300,343,False,,
