path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
19.m.0.cv2.conv,138908762da56eae,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 32, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",19.m.0.cv2.conv,forward,True,18432,29491200,614400,48.0,5,1.0259,1.0259,0.0
19.m.0.cv2.bn,cba477f67c91d4d5,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 0.1711,  0.8184, -0.7354, -0.3044,  0.4980, -0.2815, -0.1652, -0.8584, -1.2402, -0.4055, -0.5073, -0.2169, -0.6943, -0.6694, -1.3623, -0.2251, -0.8364,  0.3464, -0.8428,  0.2469, -0.8208, -0.7920, -0.2612,  2.0605, -0.3423,  0.3257,  1.5195,  0.0796, -0.2080,  0.3921, -0.9316,  0.6270, -0.3733, -0.0858,\n         0.4329, -1.3555, -0.6562,  0.8608, -0.3020, -0.7837, -0.7285,  0.1840, -0.7769, -0.2949, -0.1996, -0.6968,  0.0807, -0.4800, -0.3733, -0.9126, -0.4177, -0.6733, -0.1022, -0.5962, -0.5918,  0.1541,  0.1361,  0.4744, -1.1348,  0.8452, -0.2612,  0.6279, -0.5874, -0.4690])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",19.m.0.cv2.bn,forward,True,128,,819200,,5,0.1404,0.1404,0.0
20,6cfe7a34bafabeb5,Conv,"{""class"": ""Conv""}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 128, 20, 20]]",20,forward,False,147712,,1024000,,5,2.4741,2.4741,0.0
20.conv,043bedb72d7f8a41,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 128, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 128, 20, 20]]",20.conv,forward,True,147456,58982400,1024000,57.6,5,2.0196,2.0196,0.0
20.bn,2fbee56050763ba6,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-0.1593, -0.2271, -0.7402, -0.3535, -0.6729,  0.0430, -0.0818, -0.7832,  0.0114, -0.4036, -0.3743, -0.2551, -0.5864, -0.9399, -0.4734, -1.0273, -0.4038, -0.6621, -0.2764, -1.0615,  0.0482, -0.3323, -0.4465, -0.6240,  0.0843, -0.7686, -0.9253, -0.6421, -1.4238, -0.7441, -0.0624, -0.1456, -0.3015,  0.0999,\n        -0.0614, -0.6089, -0.6118, -0.5498, -0.9160,  0.2136, -0.7393, -0.4602, -0.3008, -0.2905, -0.9365, -0.4260, -0.7075, -0.3264, -0.6191, -0.5776, -0.4585, -0.3667, -0.6274, -0.6465, -0.0164, -0.1356,  0.0857, -0.5322, -0.2047, -0.9287, -0.1182, -1.0186, -0.7129, -0.5728,  0.1281, -0.2710, -0.4802, -0.2087,\n        -0.6411, -0.6958, -0.7568,  0.2369,  0.1575, -0.4526, -0.1726, -0.5562, -0.3579, -1.0117, -1.2344, -1.0234, -0.1309, -0.0989, -0.7314, -1.0225, -0.3616, -0.5879, -0.6675, -0.5952,  0.3652, -0.7363,  0.3647, -0.1885, -0.9087, -0.5322, -0.6914, -0.8496, -0.3066, -0.7812, -0.6982, -0.5820, -0.1085, -1.0293,\n        -0.1061, -0.3760, -0.7627, -0.7285, -0.5449, -0.4685,  0.2622, -0.1882, -0.6543, -0.6987, -1.0977, -0.8379, -0.5830, -0.6602, -0.8872, -0.2781, -0.1993, -0.4604, -0.0651, -0.8774, -0.7788,  0.1909, -0.2345, -0.3894, -0.6123,  0.0456])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",20.bn,forward,True,256,,409600,,5,0.1311,0.1311,0.0
21,e1c99929d0fa542e,Concat,"{""class"": ""Concat""}","[[1, 128, 20, 20], [1, 256, 20, 20]]","[""torch.float32""]","[[1, 384, 20, 20]]",21,forward,True,0,,1228800,,5,0.1266,0.1266,0.0
22,caa95abacee206e6,C3k2,"{""class"": ""C3k2""}","[[1, 384, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",22,forward,False,378880,,1024000,,5,14.6744,14.6744,0.0
22.cv1,8f6224db0b19406f,Conv,"{""class"": ""Conv""}","[[1, 384, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",22.cv1,forward,False,98816,,1024000,,5,3.7686,3.7686,0.0
22.cv1.conv,0a6e7ad354a5bde8,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 384, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 384, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",22.cv1.conv,forward,True,98304,39321600,1024000,38.4,5,2.4484,2.4484,0.0
22.cv1.bn,51fcd967d3c204df,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-0.6216, -0.6133, -0.4062,  0.6162, -0.6572, -0.8071, -0.6172, -0.2292, -0.2742, -0.6299,  0.0654, -0.8594, -0.3560, -0.8262, -0.4534, -0.4548, -0.6855, -0.4448,  0.5415, -0.8149, -0.7388, -0.3821, -0.8931, -0.7900, -1.0000, -0.6865, -0.7227,  0.4746, -0.4785, -0.4065, -0.7334, -0.6787, -0.8721, -0.9707,\n        -0.4324, -0.4546, -0.5688, -0.5190, -0.9277, -0.5981, -0.3989, -1.0840,  0.3870, -0.3977, -0.6025, -0.7739, -1.2051, -0.6646, -0.8159, -0.6226, -0.5229, -0.3628, -0.2791, -0.4841, -0.9365, -0.6338, -0.3018, -0.4780, -0.1953, -0.8823, -0.4546, -0.5459, -0.9019, -1.1025, -0.5708, -0.6494,  0.6396, -0.8501,\n        -0.3965, -0.4580, -0.4800, -0.2656, -0.6182, -0.1345, -0.6226, -0.6934, -0.1381, -0.1368, -0.5430, -0.5298, -0.6245,  0.3330, -0.7524, -0.5298, -0.5894, -0.5010, -0.7603, -0.6094, -0.6289, -0.7729,  0.1410, -0.3140, -0.0739, -0.6250, -0.8584, -0.7393, -0.5908, -0.7935, -0.3875, -0.3650, -0.6162, -0.7871,\n        -0.6284, -0.5820, -0.7759,  0.2734, -0.4475, -0.7422, -0.5107,  0.4871, -0.8057, -0.4504, -0.6353, -0.6494, -0.8638, -0.8384, -0.6245, -0.7876, -0.9609, -0.7944, -0.5625, -0.6450, -0.8896, -0.8169, -0.7148, -0.6250, -0.0227, -0.6260, -1.4180, -0.8389, -0.9771, -0.3379,  0.0668, -1.3271, -0.8013, -1.2344,\n        -0.0552, -0.7061, -0.7827, -1.1201, -1.4336, -1.3135, -1.1426, -1.5264, -0.6685,  0.3198, -1.0947, -0.1066, -0.6997, -0.8286, -1.0352, -0.7988, -0.1882, -0.4790, -1.0762, -1.4834, -0.7856, -1.3535, -0.7549, -0.0856, -0.3608, -0.5659, -0.7891, -2.0508,  0.0958, -0.1661, -1.6357, -0.8618, -0.7354, -0.6860,\n        -1.2070, -1.4902, -1.1807,  0.0526, -0.5693, -0.9741, -0.1652, -0.0965, -1.1738, -0.6079, -0.8496, -0.3704, -1.0068, -0.9702, -0.8931, -0.5767, -0.9204, -0.7598, -0.0210, -0.7710, -0.6992, -1.2979, -0.2998, -0.9131, -0.8354, -0.6392, -0.4299, -0.5508, -0.2389,  0.3533, -0.7910, -0.8018, -1.0645, -1.2158,\n        -0.1129, -0.1997, -0.7100,  0.0139, -0.8198, -0.4824, -0.2532, -0.6162, -0.7388, -1.0225, -1.2559, -0.9580, -0.4631, -1.0176, -0.0891, -1.5732, -1.4111, -0.1437, -1.6240, -1.9775, -0.5820, -0.8984, -0.8706, -0.4709, -0.8164, -0.8296,  0.0389, -0.6899, -1.0361, -1.6377, -1.6543, -1.7441, -0.7168, -1.1201,\n        -0.3352, -1.0166, -0.7817,  0.4065, -1.2803, -0.3423, -0.2979, -0.5825, -0.4849, -1.5625, -0.8135, -0.4951, -0.0581, -0.6509, -0.7529, -1.1982, -1.8213, -0.5952])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",22.cv1.bn,forward,True,512,,819200,,5,0.4541,0.4541,0.0
