op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,33.42,33.42,[]
aten::empty,forward,758,3061.13,4.04,[]
aten::uniform_,forward,1,9835.65,9835.65,[]
aten::conv2d,forward,88,711.71,8.09,[]
aten::convolution,forward,88,1141.92,12.98,[]
aten::_convolution,forward,88,1296.99,14.74,[]
aten::mkldnn_convolution,forward,88,169047.21,1920.99,[]
aten::as_strided_,forward,88,577.6,6.56,[]
aten::contiguous,forward,90,269.44,2.99,[]
aten::clone,forward,91,605.09,6.65,[]
aten::empty_like,forward,172,525.09,3.05,[]
aten::copy_,forward,94,64323.42,684.29,[]
aten::resize_,forward,88,212.7,2.42,[]
aten::batch_norm,forward,81,492.38,6.08,[]
aten::_batch_norm_impl_index,forward,81,1244.75,15.37,[]
aten::native_batch_norm,forward,81,22476.54,277.49,[]
aten::silu_,forward,77,29550.76,383.78,[]
aten::chunk,forward,9,63.44,7.05,[]
aten::split,forward,9,145.92,16.21,[]
aten::narrow,forward,64,316.75,4.95,[]
aten::slice,forward,64,438.01,6.84,[]
aten::as_strided,forward,90,227.85,2.53,[]
aten::add,forward,16,2660.23,166.26,[]
aten::cat,forward,21,11254.97,535.95,[]
aten::max_pool2d,forward,3,28.31,9.44,[]
aten::max_pool2d_with_indices,forward,3,3054.49,1018.16,[]
aten::split_with_sizes,forward,2,32.74,16.37,[]
aten::view,forward,10,110.57,11.06,[]
aten::mul,forward,2,103.41,51.7,[]
aten::to,forward,2,4.98,2.49,[]
aten::_to_copy,forward,2,18.08,9.04,[]
aten::empty_strided,forward,2,7.46,3.73,[]
aten::transpose,forward,3,39.87,13.29,[]
aten::matmul,forward,2,64.68,32.34,[]
aten::expand,forward,4,26.74,6.69,[]
aten::reshape,forward,5,34.57,6.91,[]
aten::_reshape_alias,forward,4,10.22,2.56,[]
aten::bmm,forward,2,1533.15,766.58,[]
aten::resolve_conj,forward,12,3.76,0.31,[]
aten::select,forward,12,47.13,3.93,[]
aten::_unsafe_view,forward,3,14.67,4.89,[]
aten::softmax,forward,2,37.44,18.72,[]
aten::_softmax,forward,2,2035.65,1017.82,[]
aten::upsample_nearest2d,forward,2,897.2,448.6,[]
aten::ones,forward,2,19.26,9.63,[]
aten::fill_,forward,2,7.2,3.6,[]
aten::unsqueeze,forward,1,12.56,12.56,[]
aten::sub,forward,2,89.8,44.9,[]
aten::div,forward,1,27.04,27.04,[]
aten::sigmoid,forward,1,763.27,763.27,[]
