t_ms,temp_C,arm_MHz,throttle_bits
0.35368200042285025,51.6,2400,327680
5063.1213179876795,54.9,2400,327680
10237.430282999412,63.1,2400,327680
15300.618682987988,65.9,2400,327680
20354.998144001,64.8,2400,327680
25408.382572990377,63.7,2400,327680
30456.163067996386,65.9,2400,327680
35505.24267498986,64.8,2400,327680
40564.14144099108,66.4,2400,327680
45620.519929987495,67.0,2400,327680
50673.606906988425,67.0,2400,327680
55744.309597997926,67.0,2400,327680
60796.47188699164,67.0,2400,327680
65849.61193799973,66.4,2400,327680
70911.9535239879,66.4,2400,327680
75963.04643299663,68.1,2400,327680
81024.17605499795,69.2,2400,327680
86079.32478300063,67.5,2400,327680
91158.47673699318,64.8,2400,327680
96338.2037759875,67.0,2400,327680
101396.4233979932,67.0,2400,327680
106448.47340599517,67.5,2400,327680
111502.0849279972,67.5,2400,327680
116564.56404399069,67.0,2400,327680
121612.0021839888,69.7,2400,327680
126667.12841000117,67.0,2400,327680
131717.61398798844,67.0,2400,327680
136787.93662699172,68.1,2400,327680
141840.49502099515,69.7,2400,327680
146908.16991099564,67.5,2400,327680
151957.5000039913,67.0,2400,327680
157007.8001919901,68.1,2400,327680
162064.42756899924,67.0,2400,327680
167124.4349059998,68.6,2400,327680
172179.24339599267,67.0,2400,327680
