t_ms,temp_C,arm_MHz,throttle_bits,rail_3V7_WL_SW_A current(0),rail_3V3_SYS_A current(1),rail_1V8_SYS_A current(2),rail_DDR_VDD2_A current(3),rail_DDR_VDDQ_A current(4),rail_1V1_SYS_A current(5),rail_0V8_SW_A current(6),rail_VDD_CORE_A current(7),rail_3V3_DAC_A current(17),rail_3V3_ADC_A current(18),rail_0V8_AON_A current(16),rail_HDMI_A current(22),rail_3V7_WL_SW_V volt(8),rail_3V3_SYS_V volt(9),rail_1V8_SYS_V volt(10),rail_DDR_VDD2_V volt(11),rail_DDR_VDDQ_V volt(12),rail_1V1_SYS_V volt(13),rail_0V8_SW_V volt(14),rail_VDD_CORE_V volt(15),rail_3V3_DAC_V volt(20),rail_3V3_ADC_V volt(21),rail_0V8_AON_V volt(19),rail_HDMI_V volt(23),rail_EXT5V_V volt(24),rail_BATT_V volt(25)
85926.60457201418,67.0,2400,327680,0.01561488,0.05465208,0.1873786,0.05172429,0.0,0.1893304,0.4908928,6.62606,0.0,0.0,0.00311355,0.0131868,3.622756,3.319313,1.803661,1.110255,0.6065928,1.104761,0.8014644,0.9259331,3.317762,3.311352,0.8008783,4.824,4.81194,0.0
90977.78909202316,65.3,2400,327680,0.09856894,0.05367615,0.1756674,0.05270022,0.0,0.1834748,0.3786608,4.3757,0.0,0.0,0.0039072,0.0135531,3.618116,3.317457,1.80415,1.11282,0.6047613,1.111354,0.8014644,0.928888,3.317762,3.307689,0.8005854,4.8374,4.8977,0.0
96028.92349602189,66.4,2400,327680,0.00487965,0.05270022,0.1864026,0.1385821,0.0,0.1893304,0.4235536,6.36709,0.0001221,6.105e-05,0.00299145,0.0126984,3.607908,3.316529,1.802684,1.110988,0.6069591,1.107691,0.8007318,0.9283507,3.315015,3.310436,0.8008783,4.8039,4.8642,0.0
101086.10800502356,69.2,2400,327680,0.01659081,0.05172429,0.1805471,0.1522451,0.0,0.1912823,0.4860132,6.63499,0.0001221,6.105e-05,0.0031746,0.0131868,3.607908,3.322097,1.802684,1.106959,0.6036624,1.109156,0.8007318,0.9304997,3.316846,3.311352,0.8014645,4.83338,4.80658,0.0
106137.7688270004,67.5,2400,327680,0.01366302,0.06343545,0.1873786,0.05270022,0.0,0.1932341,0.5074836,6.00096,0.0001221,6.105e-05,0.00347985,0.0126984,3.604197,3.317457,1.803661,1.107691,0.6051276,1.110622,0.8029296,0.9283507,3.317762,3.310436,0.8005854,4.80658,4.82266,0.0
111194.8191219999,67.5,2400,327680,0.1014967,0.06050766,0.1883545,0.08392998,0.0,0.1873786,0.4235536,6.35816,0.0,0.0,0.00286935,0.0131868,3.582854,3.316529,1.802684,1.110622,0.6047613,1.102929,0.8014644,0.9280821,3.316846,3.311352,0.8005854,4.81194,4.8106,0.0
116246.86919001397,67.5,2400,327680,0.00292779,0.06343545,0.1922582,0.195186,0.0,0.1844508,0.3659738,4.08994,0.0001221,6.105e-05,0.00360195,0.0136752,3.637603,3.317457,1.80415,1.107325,0.600732,1.107691,0.8025633,0.9280821,3.315931,3.310436,0.8005854,4.81328,4.88832,0.0
121301.3451610168,68.1,2400,327680,0.1024727,0.06050766,0.1903064,0.04196499,0.0,0.1873786,0.3523108,6.95647,0.0001221,0.0,0.0032967,0.0126984,3.582854,3.320241,1.80415,1.10586,0.6032961,1.110622,0.802197,0.9304997,3.317762,3.311352,0.8008783,4.80524,4.79988,0.0
126355.37813100382,67.0,2400,327680,0.097593,0.05367615,0.1737155,0.01073523,0.0,0.2010416,0.3435274,1.85744,0.0,0.0,0.00311355,0.0136752,3.663586,3.319313,1.804638,1.112087,0.6047613,1.107325,0.8029296,0.9283507,3.317762,3.312268,0.8008783,4.97944,4.9781,0.0
131414.9062030192,69.2,2400,327680,0.0,0.05660394,0.1873786,0.05953173,0.0,0.1893304,0.4235536,5.73306,0.0,0.0,0.0035409,0.0136752,3.607908,3.318385,1.802684,1.110622,0.6065928,1.110622,0.8003655,0.928888,3.319594,3.311352,0.8005854,4.824,4.81194,0.0
136465.99115102435,68.6,2400,327680,0.00390372,0.05465208,0.1834748,0.166884,0.0004902,0.1883545,0.363046,7.769099,0.0,0.0,0.00311355,0.0131868,3.583782,3.319313,1.805126,1.107691,0.6029298,1.109156,0.8032959,0.928888,3.317762,3.311352,0.8005854,4.88296,4.76906,0.0
141521.7170790129,68.6,2400,327680,0.00780744,0.06148359,0.181523,0.1620044,0.0,0.1903064,0.5416412,5.81343,0.0,0.0,0.0035409,0.0131868,3.60698,3.323025,1.805126,1.109523,0.6051276,1.107691,0.8010981,0.9326486,3.315931,3.315015,0.8011714,4.86152,4.8441,0.0
146590.16351701575,69.7,2400,327680,0.00780744,0.05367615,0.181523,0.08588185,0.0,0.1883545,0.4840613,6.05454,6.105e-05,0.0002442,0.00335775,0.0136752,3.615332,3.322097,1.800731,1.107325,0.6021972,1.104394,0.7996329,0.9313055,3.315015,3.310436,0.8011714,4.83338,4.84544,0.0
151637.94150101603,68.6,2400,327680,0.0,0.06245952,0.1912823,0.08490592,0.0,0.1903064,0.4821094,6.94754,6.105e-05,0.0,0.00311355,0.0131868,3.592133,3.319313,1.805126,1.113552,0.6065928,1.107691,0.8010981,0.9294252,3.314099,3.312268,0.8002922,4.8441,4.84544,0.0
156698.92751102452,70.8,2400,327680,0.01366302,0.05465208,0.1746915,0.09173742,0.0,0.1864026,0.3591422,7.64408,0.0,0.0,0.00335775,0.0126984,3.583782,3.320241,1.805126,1.11282,0.600732,1.106592,0.8025633,0.9280821,3.316846,3.313183,0.8002922,4.7905,4.78782,0.0
161754.90222501685,67.0,2400,327680,0.1034486,0.06148359,0.1873786,0.08490592,0.0,0.1873786,0.4538074,6.58141,0.0001221,0.0002442,0.00372405,0.0128205,3.599557,3.316529,1.802684,1.110255,0.6047613,1.104394,0.8018308,0.9286194,3.315931,3.310436,0.8002922,4.81194,4.81194,0.0
166809.59192902083,68.1,2400,327680,0.09954486,0.06148359,0.1746915,0.03806127,0.0,0.1883545,0.3454792,4.3757,0.0,6.105e-05,0.0031746,0.0135531,3.639459,3.322097,1.802196,1.11282,0.6054939,1.101464,0.8040285,0.9294252,3.317762,3.310436,0.8008783,4.88698,4.89234,0.0
171857.80897800578,68.6,2400,327680,0.1014967,0.05172429,0.1834748,0.2430066,0.0083334,0.1893304,0.3747572,7.76017,0.0,0.0,0.0034188,0.0128205,3.562438,3.318385,1.80415,1.107325,0.6018309,1.107325,0.8018308,0.9280821,3.317762,3.310436,0.8005854,4.85884,4.76504,0.0
