config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
d496d80f8d225e9f,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-0.0214,  1.2803, -0.6602,  0.9146,  1.5410,  0.5566,  1.2256,  0.3347,  0.7578,  1.7822, -0.9844,  1.7383,  0.1396,  0.3228,  1.2441,  1.3203, -0.0282,  1.9414,  0.4231,  0.0884,  0.6304, -0.8667,  0.2822,  0.8765,  0.3110,  0.0782,  0.9829,  0.6265,  0.0984,  2.4727,  1.2383,  1.3750, -0.4954,  0.7607,\n        -0.6348, -1.0869, -0.5566,  1.2617, -1.1943,  1.6123, -0.5078,  0.0898, -0.6006,  0.9766, -0.3860,  0.7715,  0.3274, -0.8203, -0.6162,  1.1719, -0.5776,  0.7759,  0.2340, -0.3855,  0.5571, -0.0518, -1.2080,  1.1953,  0.1171, -0.9917, -0.0228,  0.2910,  1.8096, -0.4626])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","{'args': [{'k': 'tensor', 'shape': [1, 64, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}",,"[""torch.float32""]",,3276800,3.032,12077,0.2484,5.857018,4.349594,1.080566,68.1,68.6,2400,2400,436,False,,
936a6f8c147903ef,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 96, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 96, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 2457600}], 'kwargs': {}}",,"[""torch.float32""]",39321600,4096000,3.032,775,3.8749,4.379633,2.872209,11.129559,69.2,67.5,2400,2400,463,False,,
447091d34fd86ac4,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 0.6924,  1.1123,  0.5898,  0.3633,  0.9619,  0.9150, -0.8125,  0.9946,  0.8726,  1.0010,  0.5054,  0.2383,  1.0488,  1.0020,  0.1584,  0.1178, -0.6216,  1.0732, -0.5957,  0.9058, -0.2454,  0.4812, -1.2676,  0.0073,  1.1162,  0.7729, -1.2070,  0.8579,  0.9009,  0.2915,  0.8770,  1.1709,  0.8945,  0.9150,\n        -0.0975, -0.3284,  0.8003,  1.3496,  0.8848, -0.1875,  0.8511, -0.2203,  0.8730, -0.4180, -0.4951, -0.3162,  0.0828,  1.3291, -0.3613,  0.1669,  0.8662, -0.8589,  0.5220,  0.6240,  1.1465,  0.7148, -0.2401,  0.1820,  0.8525,  0.7769, -0.4277,  1.0127,  0.3096,  0.2866])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","{'args': [{'k': 'tensor', 'shape': [1, 64, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}",,"[""torch.float32""]",,3276800,3.028,11855,0.2531,5.732615,4.225191,1.069251,65.9,69.2,2400,2400,434,False,,
01a235b12e7229d3,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-0.1957, -1.3613,  0.1914, -0.2142,  0.6992, -0.2334, -0.2474, -0.3306, -1.1982, -2.4199, -0.3066,  0.1425, -0.6851, -0.5156,  0.6729, -1.0039, -0.5044,  1.1006,  0.2981, -1.2168,  1.6426, -0.5391, -0.8125, -1.1357, -1.2910, -0.2859, -0.1837, -0.5723, -0.5317, -0.2380, -1.1025, -0.7549])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","{'args': [{'k': 'tensor', 'shape': [1, 32, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}",,"[""torch.float32""]",,1638400,3.029,16207,0.1851,5.130898,3.623474,0.670731,68.6,68.6,2400,2400,518,False,,
89349974bf05ac18,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 0.4761,  1.5137,  0.5522, -0.1327,  1.2725,  0.8364,  0.3521, -0.1654,  1.5928,  0.2561, -0.7759, -0.7749,  0.2463, -0.4846,  0.2937, -1.0977,  1.3291, -0.0339,  0.6934, -0.6421,  1.6504,  0.0823, -0.6440,  0.0113,  0.0846, -0.2893, -0.1006,  1.7686,  0.0029, -0.1840, -0.6016, -0.3721])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","{'args': [{'k': 'tensor', 'shape': [1, 32, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}",,"[""torch.float32""]",,1638400,3.03,18365,0.1634,5.336603,3.829179,0.625569,67.5,68.6,2400,2400,476,False,,
dafcc4b06ca4275c,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 64, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}",,"[""torch.float32""]",58982400,2048000,3.03,1323,2.2685,4.981799,3.474375,7.881519,69.2,68.6,2400,2400,533,False,,
60bd506eb93a2169,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 0.0164,  0.8916, -0.5771,  0.7129, -0.8638, -0.0356, -0.3887, -0.3210, -0.9824, -0.6509,  0.5430, -0.5508, -1.2686, -0.5000, -0.8696, -0.2944,  0.3774, -1.3252, -0.4702, -0.2708, -0.7510, -1.3574, -0.7905, -0.6045, -0.5112, -1.0029, -0.4272, -0.6328, -0.5688, -0.4709, -0.5225, -1.1855, -0.8442, -1.5254,\n         0.0950, -0.2815, -1.3291, -0.1370, -1.4062, -0.4968, -1.1367, -0.7852, -0.5010, -0.9517, -0.8638, -2.4395,  0.2433, -0.2156, -0.4045,  0.2056,  0.3423, -0.1652, -1.3857,  0.4214, -0.4321, -0.9829, -0.7036, -0.9443, -0.9858,  0.2231, -0.5098, -0.6865, -0.1484,  0.1776])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","{'args': [{'k': 'tensor', 'shape': [1, 64, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}",,"[""torch.float32""]",,819200,3.029,24553,0.1222,5.132703,3.625279,0.44296,68.6,68.6,2400,2400,459,False,,
0c744be3ab4636b8,Concat,"{""class"": ""Concat""}","{'args': [{'k': 'list', 'sub': [{'k': 'tensor', 'shape': [1, 64, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}, {'k': 'tensor', 'shape': [1, 128, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}]}], 'kwargs': {}}",,"[""torch.float32""]",,2457600,3.029,12580,0.2385,4.520988,3.013564,0.718681,68.1,67.0,2400,2400,486,False,,
95ffb23652fc8983,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-0.0139, -0.0135, -0.3960, -0.0514, -0.2352,  0.9780, -0.0576, -0.4670, -0.2576, -0.3535,  0.0952, -0.0795, -0.8047, -0.1749,  0.4236, -0.1652, -1.2451, -0.0719, -0.1256, -0.5269,  0.1187, -0.2148, -0.2632, -0.2573, -0.2571, -0.1141, -1.0049,  0.3435, -0.6958, -0.1021, -0.4856, -0.2520,  0.0553, -0.8940,\n         0.1915, -0.3257,  0.0742, -0.1006,  1.0986,  0.1398, -0.5513, -0.1085, -0.6699, -1.0986, -0.0193, -1.2021,  0.0335,  1.1943, -0.8657, -0.3303, -0.6353,  0.0206,  0.2512, -0.2927,  0.4346,  0.8950,  0.3706, -0.2808, -0.6426, -0.2227, -0.1316, -0.8643, -0.5093, -0.5269, -0.3201, -1.7041, -0.7422, -0.5557,\n        -0.9316,  0.0629, -1.0762,  0.2803, -0.6870, -0.6670, -0.0905, -0.4922, -0.0972, -0.2764, -0.3042,  0.1697, -0.2603, -0.7393, -0.2062, -1.8896,  0.1153,  1.1992, -0.4468, -0.9961, -0.1802, -0.2184, -0.7212,  0.0986, -0.5122, -1.1748, -0.9380, -0.7544, -1.2988, -1.4258, -0.0707,  0.6929,  0.1510, -0.0840,\n         0.6211, -0.3574, -0.5820, -0.7070,  2.5605,  0.1740, -0.4570, -0.8721, -0.2449, -0.2120, -1.8291,  0.3948, -0.9194, -0.9033, -0.0813,  0.1013,  0.5718, -0.4963, -0.5474,  0.3542, -0.0653, -0.7031,  0.5874,  0.4524, -0.2362, -0.5791])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","{'args': [{'k': 'tensor', 'shape': [1, 128, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}",,"[""torch.float32""]",,1638400,3.059,18729,0.1602,5.459143,3.951719,0.632995,66.4,68.6,2400,2400,460,False,,
064378717012c0e9,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-1.3887,  0.4219, -0.4219,  1.1387,  0.6055, -0.7832, -0.8428, -0.0584, -0.8252, -0.2690,  0.4241,  0.2300, -1.0586, -0.1166, -0.2439,  0.7236,  0.3120,  0.2256, -1.6738,  0.4409, -0.7627, -0.8506,  0.1199, -1.3545,  0.7456, -0.9663, -1.0859,  0.0943, -0.5029, -0.6606, -0.5093,  0.7651, -0.2830, -0.0740,\n         0.4617, -1.5254,  0.9150,  0.8315, -0.4802, -0.3320,  0.4302, -0.3577, -0.7500, -0.4509,  0.3206,  0.4507, -0.0870, -1.0273, -1.2168,  0.7754,  0.4126, -0.7617,  0.3223, -0.4478, -0.9102, -0.6094, -0.8110, -0.9556,  0.0217, -1.0156,  0.4001,  1.0547, -0.3433, -0.5190, -0.6147,  0.8682, -0.3523, -1.5537,\n        -0.7314, -1.1377, -1.2471,  0.3899, -0.2954, -0.0622, -0.1935,  0.4177, -0.5356,  0.0712, -0.5991, -0.7725, -0.3267, -1.1758, -0.4453, -2.1445, -3.4395, -0.2944, -0.3149, -0.8726, -0.7725, -1.1318, -0.3872, -0.8184, -0.2202, -1.0527, -0.4561, -0.2969, -1.8008,  0.2974, -0.1205,  0.7661, -0.4790, -0.7148,\n        -1.2744, -0.7681, -0.0428,  0.3838, -0.1353, -0.4932, -0.7964, -1.0518, -0.5410, -0.0096, -0.3877,  0.2092, -1.2412, -2.0879, -0.3958,  0.3672, -0.1116, -0.6621,  0.5205,  1.4531,  0.7476, -0.2747, -1.6299, -0.7153, -1.4932,  0.1564])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","{'args': [{'k': 'tensor', 'shape': [1, 128, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}",,"[""torch.float32""]",,1638400,3.029,20949,0.1432,5.79363,4.286206,0.613825,67.0,69.2,2400,2400,426,False,,
