path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
22.cv2.0.0,8edda4b0b28cfff8,Conv,"{""class"": ""Conv""}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",22.cv2.0.0,forward,False,36992,,3276800,,35,9.2257,8.6561,1.7654
22.cv2.0.0.conv,b3d3d746de5ca8f5,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",22.cv2.0.0.conv,forward,True,36864,235929600,3276800,72.0,35,7.7389,7.2315,1.6736
22.cv2.0.0.bn,c8f17e7d898f6c16,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-0.3203, -1.0400, -0.9004, -0.5742, -0.3596, -1.2734, -0.2083, -0.2576, -1.3164, -0.5303, -1.1797, -0.8545, -1.0420, -1.4453, -0.8965, -0.4204, -0.6113, -0.4480, -1.2090, -1.2725, -1.3447, -1.0537, -0.5825, -0.5474,  1.0293, -0.2615, -0.5850, -1.2998, -1.7871, -0.3977,  0.4895, -0.7383, -0.9482, -1.2480,\n        -0.7275, -1.5098, -0.7168, -0.8818,  0.6816, -1.3975, -1.6416, -1.0547, -1.2451, -0.6855,  0.1864, -0.8247, -0.0342, -0.9858, -0.0963, -0.0543, -1.0576, -1.1064, -0.6914, -0.2488, -1.1377,  0.0077,  0.3467, -0.5708, -1.6670, -1.3936, -0.0499, -0.6250, -1.6035, -0.5181])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",22.cv2.0.0.bn,forward,True,128,,3276800,,35,0.6491,0.5862,0.185
22.cv2.0.1,8edda4b0b28cfff8,Conv,"{""class"": ""Conv""}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",22.cv2.0.1,forward,False,36992,,3276800,,35,9.3829,8.7632,1.8
22.cv2.0.1.conv,b3d3d746de5ca8f5,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",22.cv2.0.1.conv,forward,True,36864,235929600,3276800,72.0,35,8.0228,7.5402,1.9143
22.cv2.0.1.bn,ac822fc1e555ffcc,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 1.3379,  1.8486,  0.6509,  1.2197,  0.7861,  1.5020,  1.5918,  1.8721, -0.4866, -0.1152,  1.0850,  1.0264,  2.0801,  1.9443,  1.4072,  1.3936,  1.4062,  1.6201,  1.6035,  1.0850,  1.5225, -0.1895,  1.2744, -1.0137,  0.4758,  0.7715,  0.1908,  1.5664,  1.6953,  0.4656,  0.6680,  0.9521, -0.2214,  0.8579,\n         0.7539,  1.6299,  0.5552,  0.7148,  0.9614,  1.7080,  1.0029,  0.5791,  1.0166,  1.2148,  1.4316,  0.1007,  1.4775, -1.0176,  1.9746,  0.9175,  1.6230,  1.0498,  0.9092,  1.9600,  0.4509,  0.4531,  1.7119,  1.2119,  0.1149,  1.1641,  1.5967,  0.1821,  1.7422,  1.3682])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",22.cv2.0.1.bn,forward,True,128,,3276800,,35,0.558,0.5022,0.2374
22.cv2.0.2,d06d608342aa8fc7,Conv2d,"{""bias"": ""Parameter containing:\ntensor([ 1.9570e+00,  2.1152e+00,  2.0840e+00,  2.2754e+00,  2.3184e+00,  2.0039e+00,  1.7559e+00,  1.3916e+00,  1.1445e+00,  8.5205e-01,  3.6523e-01, -2.8857e-01, -1.9678e-01, -7.6953e-01, -9.1992e-01, -8.6548e-02,  1.9199e+00,  2.1387e+00,  2.2109e+00,  2.3379e+00,  2.6074e+00,  2.4492e+00,  2.1016e+00,  1.5693e+00,\n         1.0303e+00,  5.5859e-01,  1.4160e-01, -1.8530e-01, -6.5186e-01, -8.5547e-01, -9.8682e-01, -3.9136e-01,  2.4688e+00,  2.3223e+00,  2.1543e+00,  2.4180e+00,  1.8975e+00,  2.0449e+00,  2.0137e+00,  1.5850e+00,  1.1094e+00,  4.3188e-01,  4.2511e-02, -1.8311e-01, -4.5581e-01, -5.5811e-01, -1.0938e+00, -1.9580e-01,\n         1.9326e+00,  2.0098e+00,  1.9707e+00,  2.1367e+00,  2.1777e+00,  2.3906e+00,  2.1816e+00,  1.5439e+00,  9.8145e-01,  5.9863e-01,  1.8030e-01,  7.2432e-04, -3.5522e-01, -5.7373e-01, -9.9365e-01, -1.8274e-01])"", ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",22.cv2.0.2,forward,True,4160,26214400,3276800,8.0,35,3.64,3.5572,0.5146
22.cv2.1,ba2148944390f9e3,Sequential,"{""class"": ""Sequential""}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",22.cv2.1,forward,False,115008,,1228800,,35,6.8294,6.4055,1.4461
22.cv2.1.0,6cfe7a34bafabeb5,Conv,"{""class"": ""Conv""}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",22.cv2.1.0,forward,False,73856,,1228800,,35,3.8551,3.7439,0.9681
22.cv2.1.0.conv,b0f07601a28f4098,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",22.cv2.1.0.conv,forward,True,73728,117964800,1228800,96.0,35,3.309,3.2718,0.8437
