path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
22.cv3.0,7fd7f009284314a8,Sequential,"{""class"": ""Sequential""}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 80, 80, 80]]",22.cv3.0,forward,False,110480,,3686400,,52,28.7727,27.8945,2.2515
22.cv3.0.0,8edda4b0b28cfff8,Conv,"{""class"": ""Conv""}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 80, 80, 80]]",22.cv3.0.0,forward,False,46240,,3686400,,52,10.5744,10.3373,0.8792
22.cv3.0.0.conv,bd01735baf7c3492,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 80, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 80, 80, 80]]",22.cv3.0.0.conv,forward,True,46080,294912000,3686400,80.0,52,8.7516,8.5941,0.874
22.cv3.0.0.bn,042603ce22995359,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-1.4805, -1.5762, -0.8325, -1.2236, -1.1221, -0.7363, -0.4270,  0.6636,  0.5137, -0.1527, -0.7666,  0.8174,  0.4895, -0.5068,  0.7842, -0.1945, -0.3059,  0.4155,  0.2345, -1.3330,  0.4451, -0.9282,  0.3359, -1.1182, -0.8867, -1.1025, -0.5771, -0.2522, -0.7612, -1.2432, -0.9951, -0.5298, -1.3105, -1.3359,\n        -1.8398, -0.7417,  0.5596, -0.8730,  0.1137, -0.5000,  0.1897,  0.7065, -0.9854, -1.1729, -0.9526, -1.0986,  0.2576,  0.5664,  0.1328, -3.0176, -1.8047, -0.4351, -0.6846, -0.3904, -1.2578, -1.8975,  0.1392, -1.1152, -0.5688, -1.0645, -1.0049, -0.6714, -0.9106,  0.3083, -0.6255,  0.0469,  0.1593, -0.9810,\n        -0.3140,  0.8765, -0.2421, -0.8003, -1.0625, -1.2227, -1.2715, -2.0000,  0.0772, -1.4600, -0.2708, -0.2666])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 80, 80, 80]]","[""torch.float32""]","[[1, 80, 80, 80]]",22.cv3.0.0.bn,forward,True,160,,4096000,,52,0.8806,0.8333,0.1803
22.cv3.0.1,34de7a256bd759e3,Conv,"{""class"": ""Conv""}","[[1, 80, 80, 80]]","[""torch.float32""]","[[1, 80, 80, 80]]",22.cv3.0.1,forward,False,57760,,4096000,,52,12.8391,11.9189,1.8647
22.cv3.0.1.conv,913d7b290a47e6cc,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 80, ""kernel_size"": [3, 3], ""out_channels"": 80, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 80, 80, 80]]","[""torch.float32""]","[[1, 80, 80, 80]]",22.cv3.0.1.conv,forward,True,57600,368640000,4096000,90.0,52,11.0639,10.2048,1.7903
22.cv3.0.1.bn,4c8e06012cacfddc,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 1.3809,  0.1631,  0.2079,  1.2334, -0.0510,  4.9609,  0.9116,  0.7949,  1.7578,  0.8320,  0.5205,  0.4634,  1.9424,  4.5078,  1.5732,  1.1279, -0.3596,  4.9375, -0.0197,  0.2158,  2.1738,  0.3828, -0.0417, -0.0186,  0.3235,  0.3044,  1.2139,  3.0859,  0.8701, -0.8608,  6.7812,  2.8047,  2.4395,  0.1582,\n         0.3386,  0.4519,  4.2070, -0.2571,  5.4766,  2.5449,  0.1166,  1.1689,  5.2891, -0.0777, -0.3743,  1.2305, -0.4282,  1.3418,  0.4028,  3.5684,  0.5796, -0.3943,  0.6489,  0.1757,  0.2175,  0.3247,  0.5146,  1.1650, -0.3601,  0.3137,  0.5991,  3.6445,  0.1860,  7.3438,  0.3918,  0.3406,  2.6953,  0.0286,\n         5.9492,  4.7461,  0.9468, -0.0403,  0.4736,  0.5151,  0.2656,  2.2051,  0.5000,  0.8003,  0.1124,  0.5474])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 80, 80, 80]]","[""torch.float32""]","[[1, 80, 80, 80]]",22.cv3.0.1.bn,forward,True,160,,4096000,,52,0.8287,0.7954,0.1439
22.cv3.0.2,c4fc0fcaada27dbc,Conv2d,"{""bias"": ""Parameter containing:\ntensor([ -6.3828, -11.4922,  -9.6328, -11.9688, -12.1641, -12.4141, -12.6094, -11.5703, -11.3594, -11.3984, -12.6875, -12.4922, -12.7969, -11.1719, -10.3672, -11.6484, -11.7344, -11.7969, -11.0156, -11.3594, -11.8906, -12.9062, -12.2188, -12.2891, -10.6953, -10.2734, -10.0625, -11.3125, -11.0000, -12.4766, -11.6172,\n        -12.3906, -11.8281, -11.7422, -12.2109, -12.6328, -12.0859, -11.6250, -11.8438,  -9.0703, -11.2109,  -9.3594, -11.3984, -11.3047, -11.2578, -10.3125,  -9.8906, -10.4609, -11.9766, -10.5000, -10.4219, -10.0781, -11.8906, -11.9062, -10.9844, -11.2031,  -8.7109, -11.9766, -10.7500, -12.3438, -11.1797, -12.0859,\n        -11.5234, -11.8203, -12.5625, -11.7422, -12.2578, -11.7344, -12.6328, -12.5078, -13.0547, -11.6719, -12.4531,  -9.0078, -11.3750, -11.1719, -12.2578, -11.3672, -12.9766, -12.3906])"", ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 80, ""kernel_size"": [1, 1], ""out_channels"": 80, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 80, 80, 80]]","[""torch.float32""]","[[1, 80, 80, 80]]",22.cv3.0.2,forward,True,6480,40960000,4096000,10.0,52,5.1676,4.9746,0.6135
22.cv3.1,ba2148944390f9e3,Sequential,"{""class"": ""Sequential""}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 80, 40, 40]]",22.cv3.1,forward,False,156560,,1331200,,52,10.2417,9.3492,2.2201
22.cv3.1.0,6cfe7a34bafabeb5,Conv,"{""class"": ""Conv""}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 80, 40, 40]]",22.cv3.1.0,forward,False,92320,,1331200,,52,5.5085,5.0186,1.4112
