t_ms,temp_C,arm_MHz,throttle_bits
0.5628880026051775,49.9,2400,327680
5049.9044740026875,49.9,2400,327680
10099.429329002305,57.6,2400,327680
15155.27021300295,60.9,2400,327680
20210.033020000992,60.4,2400,327680
25264.64234300147,63.1,2400,327680
30312.873242000933,62.6,2400,327680
35363.4395040026,64.2,2400,327680
40420.76546899989,63.1,2400,327680
45478.150568000274,66.4,2400,327680
50528.626882001845,65.3,2400,327680
55580.8653109998,65.9,2400,327680
60629.24213400038,66.4,2400,327680
65681.14268000136,63.1,2400,327680
70732.80662999969,64.2,2400,327680
75791.37490500216,65.9,2400,327680
80843.50990700113,66.4,2400,327680
85892.77355000013,64.8,2400,327680
90951.06681200195,65.3,2400,327680
95998.89078400156,64.8,2400,327680
