op,count,self_total_us,self_mean_us,input_shapes,module_path
aten::clone,342,4495.13,13.14,[],
aten::empty_strided,447,1520.15,3.4,[],
aten::copy_,722,50620.6,70.11,[],
aten::detach,422,768.99,1.82,[],
detach,418,645.65,1.54,[],
aten::empty,1031,3165.64,3.07,[],
aten::set_,741,3918.0,5.29,[],
aten::new_empty,260,1859.01,7.15,[],
aten::zeros_like,81,313.02,3.86,[],
aten::empty_like,169,661.33,3.91,[],
aten::zero_,85,44.71,0.53,[],
aten::add,186,3550.17,19.09,[],
aten::to,722,1467.31,2.03,[],
aten::_to_copy,108,638.0,5.91,[],
aten::rsqrt,81,338.28,4.18,[],
aten::mul,328,4462.46,13.61,[],
aten::reshape,100,472.99,4.73,[],
aten::view,126,660.42,5.24,[],
aten::sub,84,584.26,6.96,[],
aten::_has_compatible_shallow_copy_type,1050,379.05,0.36,[],
aten::max,3,77.0,25.67,[],
aten::fill_,18,56.92,3.16,[],
aten::item,17,46.0,2.71,[],
aten::_local_scalar_dense,17,18.39,1.08,[],
aten::lift_fresh,1,1.65,1.65,[],
aten::unsqueeze,9,52.83,5.87,[],
aten::as_strided,182,333.76,1.83,[],
aten::permute,1,6.85,6.85,[],
aten::flip,1,821.83,821.83,[],
aten::contiguous,85,306.41,3.6,[],
aten::div_,5,737.35,147.47,[],
torchvision::_cuda_version,3,11.06,3.69,[],
aten::conv2d,88,754.46,8.57,[],
aten::convolution,88,844.82,9.6,[],
aten::_convolution,88,1477.44,16.79,[],
aten::mkldnn_convolution,78,146426.54,1877.26,[],
aten::as_strided_,80,601.52,7.52,[],
aten::resize_,90,272.01,3.02,[],
aten::silu_,77,19820.9,257.41,[],
aten::chunk,9,64.33,7.15,[],
aten::split,9,71.21,7.91,[],
aten::narrow,75,451.46,6.02,[],
aten::slice,87,523.42,6.02,[],
aten::cat,27,6889.06,255.15,[],
aten::_nnpack_available,10,28.94,2.89,[],
aten::thnn_conv2d,10,80.54,8.05,[],
aten::_slow_conv2d_forward,10,5674.64,567.46,[],
aten::max_pool2d,3,29.67,9.89,[],
aten::max_pool2d_with_indices,3,2734.16,911.39,[],
aten::split_with_sizes,3,33.76,11.25,[],
aten::transpose,6,34.94,5.82,[],
aten::matmul,2,66.33,33.16,[],
aten::expand,11,41.31,3.76,[],
aten::_reshape_alias,4,4.89,1.22,[],
aten::bmm,2,1368.66,684.33,[],
aten::resolve_conj,13,6.96,0.54,[],
aten::select,51,224.52,4.4,[],
aten::_unsafe_view,3,9.87,3.29,[],
aten::softmax,2,29.67,14.83,[],
aten::_softmax,2,1222.9,611.45,[],
aten::upsample_nearest2d,2,546.83,273.42,[],
aten::ones,2,11.83,5.92,[],
aten::isfinite,1,20.78,20.78,[],
aten::eq,1,21.04,21.04,[],
aten::abs,4,42.96,10.74,[],
aten::ne,5,40.09,8.02,[],
aten::__and__,1,5.26,5.26,[],
aten::bitwise_and,1,5.68,5.68,[],
aten::masked_select,1,24.93,24.93,[],
aten::sum,1,32.83,32.83,[],
aten::min,1,8.85,8.85,[],
aten::unbind,4,21.65,5.41,[],
aten::ceil,3,12.52,4.17,[],
aten::is_nonzero,9,19.45,2.16,[],
aten::div,3,91.96,30.65,[],
aten::gt,4,62.3,15.57,[],
aten::lt,1,6.89,6.89,[],
aten::resolve_neg,1,0.33,0.33,[],
aten::new_full,9,65.97,7.33,[],
aten::arange,10,110.59,11.06,[],
aten::meshgrid,3,31.78,10.59,[],
aten::stack,3,20.81,6.94,[],
aten::sigmoid,1,725.52,725.52,[],
aten::amax,1,381.13,381.13,[],
aten::zeros,2,10.59,5.3,[],
aten::index,3,80.89,26.96,[],
aten::nonzero,2,58.74,29.37,[],
torchvision::nms,1,115.95,115.95,[],
aten::sort,1,32.94,32.94,[],
aten::new_zeros,2,9.06,4.53,[],
aten::sub_,4,24.3,6.07,[],
aten::clamp_,4,28.93,7.23,[],
aten::alias,1,1.96,1.96,[],
