path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
6.m.0.cv2.conv,a769a037c9a074eb,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",6.m.0.cv2.conv,forward,True,36864,58982400,966656,61.0169,1600,1600,30,2.0491,1.4079,1.583
6.m.0.cv2.bn,ed0c9ec6c9470d44,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",6.m.0.cv2.bn,forward,True,128,204800,819712,0.2498,1600,1600,30,0.2435,0.1375,0.2376
6.m.1,02436ef5d3114e46,Bottleneck,"{""class"": ""Bottleneck""}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",6.m.1,forward,False,73984,,1115136,,1,1,30,5.5927,4.5788,3.0556
6.m.1.cv1,779f8899e994d313,Conv,"{""class"": ""Conv""}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",6.m.1.cv1,forward,False,36992,,967168,,1,1,30,2.7675,1.8696,1.7728
6.m.1.cv1.conv,a769a037c9a074eb,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",6.m.1.cv1.conv,forward,True,36864,58982400,966656,61.0169,1600,1600,30,2.0982,1.4466,1.3303
6.m.1.cv1.bn,ed0c9ec6c9470d44,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",6.m.1.cv1.bn,forward,True,128,204800,819712,0.2498,1600,1600,30,0.2454,0.128,0.2797
6.m.1.cv2,779f8899e994d313,Conv,"{""class"": ""Conv""}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",6.m.1.cv2,forward,False,36992,,967168,,1,1,30,2.5503,2.2358,1.3353
6.m.1.cv2.conv,a769a037c9a074eb,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",6.m.1.cv2.conv,forward,True,36864,58982400,966656,61.0169,1600,1600,30,1.9529,1.7221,1.0657
6.m.1.cv2.bn,ed0c9ec6c9470d44,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",6.m.1.cv2.bn,forward,True,128,204800,819712,0.2498,1600,1600,30,0.2276,0.142,0.2078
7,6cfe7a34bafabeb5,Conv,"{""class"": ""Conv""}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 256, 20, 20]]",7,forward,False,295424,,2410496,,1,1,30,5.1785,4.3702,2.0907
7.conv,9d8bb7a22980064b,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 256, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 256, 20, 20]]",7.conv,forward,True,294912,117964800,2408448,48.9796,1600,1600,30,4.5127,3.8519,1.7291
