config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
c3e6e3b38b352ca5,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}",multi,"[[1, 64]]",,,16896,2.02,30018,0.066,2.61996,1.196556,0.078919,52.7,52.7,2400027136,2400020480,433,False,,
d908ade19db0c477,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}",multi,"[[1, 1]]",,,264,2.023,34923,0.0566,2.602306,1.178903,0.066777,53.8,52.7,2400030464,2400023808,483,False,,
2c9590523055fe71,LayerNorm,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],\n       requires_grad=True)"", ""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""normalized_shape"": [64]}",multi,"[[1, 64, 64]]",,,32768,2.021,28301,0.0699,4.836162,3.412758,0.23855,52.7,58.2,2400033792,2400020480,269,False,,
63a0f7989a7e8866,LayerNorm,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],\n       requires_grad=True)"", ""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""normalized_shape"": [64]}",multi,"[[1, 1, 64]]",,,512,2.021,34133,0.058,2.68304,1.259637,0.073003,56.5,55.4,2400027136,2400023808,477,False,,
78b4ea840b7c1996,Linear,"{""bias"": ""Parameter containing:\ntensor([ 0.1223, -0.0853, -0.0171, -0.0911,  0.0935, -0.0743,  0.1227,  0.0368,\n         0.0541, -0.0737,  0.1115, -0.0359,  0.0650,  0.1137,  0.1147,  0.0739,\n         0.1093, -0.0605,  0.0345, -0.0096,  0.0874, -0.0260,  0.0281,  0.0397,\n         0.0997,  0.0407,  0.0425, -0.1226, -0.0449, -0.0709,  0.1094,  0.0515,\n         0.1023, -0.0049,  0.1017,  0.0763,  0.0739, -0.0396, -0.0343, -0.0380,\n         0.0351, -0.0374,  0.0508,  0.0271, -0.0349, -0.0129, -0.0748, -0.0260,\n         0.0710, -0.1220, -0.0399,  0.1116, -0.0495, -0.0250, -0.0265, -0.0646,\n        -0.0031, -0.0903,  0.1199, -0.0068,  0.0255, -0.0287, -0.0359, -0.0010,\n         0.0835,  0.0968,  0.0159, -0.0241,  0.0437,  0.0831, -0.1066,  0.0315,\n         0.0589,  0.1201, -0.0733,  0.0993,  0.0923,  0.0124,  0.0538, -0.0820,\n        -0.0064, -0.0575, -0.1083, -0.0417, -0.1096,  0.0070, -0.0223,  0.1081,\n        -0.0563,  0.0302, -0.0033,  0.0379,  0.1024,  0.0437, -0.0071, -0.0314,\n        -0.0299,  0.0156,  0.0185, -0.1031, -0.1228,  0.0476, -0.0242, -0.1059,\n         0.0729,  0.0027, -0.0139,  0.0699,  0.1067,  0.0793, -0.0976,  0.0278,\n         0.0500,  0.0291, -0.0925,  0.0705,  0.0003, -0.0688,  0.0005, -0.0631,\n         0.0363, -0.0530, -0.0045, -0.0532,  0.0996,  0.0406,  0.0402,  0.0831,\n        -0.0390, -0.0439,  0.0487,  0.0044, -0.0309,  0.0185,  0.0282, -0.0088,\n         0.0610, -0.0734,  0.0554,  0.0861, -0.0342, -0.0253, -0.0353, -0.0913,\n        -0.0922, -0.0280, -0.1040, -0.1116,  0.0713, -0.0718,  0.0188,  0.0061,\n         0.0211,  0.0573,  0.1137,  0.0634,  0.0665, -0.0087, -0.0742,  0.0010,\n        -0.0267, -0.1007, -0.0112,  0.0439,  0.0696, -0.1154,  0.0256,  0.0137,\n         0.0284,  0.0269,  0.1242, -0.0753, -0.0714,  0.0615, -0.0514, -0.0557,\n        -0.0457, -0.0979, -0.0221,  0.0476, -0.0369,  0.0309,  0.0023,  0.0470,\n        -0.0100,  0.0482,  0.0480,  0.0698, -0.0519, -0.1050, -0.0126, -0.0101,\n        -0.0178, -0.0771, -0.0164, -0.0871,  0.0412, -0.1081, -0.1038,  0.0760,\n         0.0969, -0.0943, -0.0759,  0.0071,  0.0868, -0.0502,  0.0916, -0.0660,\n        -0.0620, -0.0637, -0.0453, -0.0556, -0.0965,  0.0727,  0.0946, -0.0437,\n         0.0030,  0.0711, -0.1088,  0.0194, -0.0323,  0.0106,  0.0196,  0.0780,\n         0.0268, -0.0431, -0.0277,  0.0487, -0.1115,  0.0619,  0.0477, -0.0878,\n        -0.1248,  0.0304, -0.0751,  0.1193,  0.0506,  0.0988,  0.0109, -0.0837,\n        -0.0542,  0.0481,  0.1106,  0.1142,  0.1151, -0.0141, -0.0542,  0.0145,\n         0.0443, -0.0806,  0.1234, -0.0685, -0.0239, -0.0913,  0.1043, -0.0193],\n       requires_grad=True)"", ""class"": ""Linear"", ""in_features"": 64, ""out_features"": 256}",multi,"[[1, 64, 64]]",,1048576,81920,2.021,8504,0.2327,4.919672,3.496269,0.81368,54.9,59.3,2400033792,2400023808,309,False,,
f2280c50f4491536,Linear,"{""bias"": ""Parameter containing:\ntensor([ 0.1223, -0.0853, -0.0171, -0.0911,  0.0935, -0.0743,  0.1227,  0.0368,\n         0.0541, -0.0737,  0.1115, -0.0359,  0.0650,  0.1137,  0.1147,  0.0739,\n         0.1093, -0.0605,  0.0345, -0.0096,  0.0874, -0.0260,  0.0281,  0.0397,\n         0.0997,  0.0407,  0.0425, -0.1226, -0.0449, -0.0709,  0.1094,  0.0515,\n         0.1023, -0.0049,  0.1017,  0.0763,  0.0739, -0.0396, -0.0343, -0.0380,\n         0.0351, -0.0374,  0.0508,  0.0271, -0.0349, -0.0129, -0.0748, -0.0260,\n         0.0710, -0.1220, -0.0399,  0.1116, -0.0495, -0.0250, -0.0265, -0.0646,\n        -0.0031, -0.0903,  0.1199, -0.0068,  0.0255, -0.0287, -0.0359, -0.0010,\n         0.0835,  0.0968,  0.0159, -0.0241,  0.0437,  0.0831, -0.1066,  0.0315,\n         0.0589,  0.1201, -0.0733,  0.0993,  0.0923,  0.0124,  0.0538, -0.0820,\n        -0.0064, -0.0575, -0.1083, -0.0417, -0.1096,  0.0070, -0.0223,  0.1081,\n        -0.0563,  0.0302, -0.0033,  0.0379,  0.1024,  0.0437, -0.0071, -0.0314,\n        -0.0299,  0.0156,  0.0185, -0.1031, -0.1228,  0.0476, -0.0242, -0.1059,\n         0.0729,  0.0027, -0.0139,  0.0699,  0.1067,  0.0793, -0.0976,  0.0278,\n         0.0500,  0.0291, -0.0925,  0.0705,  0.0003, -0.0688,  0.0005, -0.0631,\n         0.0363, -0.0530, -0.0045, -0.0532,  0.0996,  0.0406,  0.0402,  0.0831,\n        -0.0390, -0.0439,  0.0487,  0.0044, -0.0309,  0.0185,  0.0282, -0.0088,\n         0.0610, -0.0734,  0.0554,  0.0861, -0.0342, -0.0253, -0.0353, -0.0913,\n        -0.0922, -0.0280, -0.1040, -0.1116,  0.0713, -0.0718,  0.0188,  0.0061,\n         0.0211,  0.0573,  0.1137,  0.0634,  0.0665, -0.0087, -0.0742,  0.0010,\n        -0.0267, -0.1007, -0.0112,  0.0439,  0.0696, -0.1154,  0.0256,  0.0137,\n         0.0284,  0.0269,  0.1242, -0.0753, -0.0714,  0.0615, -0.0514, -0.0557,\n        -0.0457, -0.0979, -0.0221,  0.0476, -0.0369,  0.0309,  0.0023,  0.0470,\n        -0.0100,  0.0482,  0.0480,  0.0698, -0.0519, -0.1050, -0.0126, -0.0101,\n        -0.0178, -0.0771, -0.0164, -0.0871,  0.0412, -0.1081, -0.1038,  0.0760,\n         0.0969, -0.0943, -0.0759,  0.0071,  0.0868, -0.0502,  0.0916, -0.0660,\n        -0.0620, -0.0637, -0.0453, -0.0556, -0.0965,  0.0727,  0.0946, -0.0437,\n         0.0030,  0.0711, -0.1088,  0.0194, -0.0323,  0.0106,  0.0196,  0.0780,\n         0.0268, -0.0431, -0.0277,  0.0487, -0.1115,  0.0619,  0.0477, -0.0878,\n        -0.1248,  0.0304, -0.0751,  0.1193,  0.0506,  0.0988,  0.0109, -0.0837,\n        -0.0542,  0.0481,  0.1106,  0.1142,  0.1151, -0.0141, -0.0542,  0.0145,\n         0.0443, -0.0806,  0.1234, -0.0685, -0.0239, -0.0913,  0.1043, -0.0193],\n       requires_grad=True)"", ""class"": ""Linear"", ""in_features"": 64, ""out_features"": 256}",multi,"[[1, 1, 64]]",,16384,1280,2.023,7045,0.281,4.49969,3.076286,0.864294,59.8,60.4,2400020480,2400023808,370,False,,
