op,count,self_total_us,self_mean_us,input_shapes,module_path
aten::clone,253,2811.06,11.11,[],
aten::empty_strided,326,1162.0,3.56,[],
aten::copy_,528,42470.92,80.44,[],
aten::detach,302,543.49,1.8,[],
detach,298,416.99,1.4,[],
aten::empty,750,2376.06,3.17,[],
aten::set_,525,3129.15,5.96,[],
aten::new_empty,188,1538.03,8.18,[],
aten::zeros_like,57,258.07,4.53,[],
aten::empty_like,128,497.34,3.89,[],
aten::zero_,61,34.57,0.57,[],
aten::add,130,1934.24,14.88,[],
aten::to,529,962.96,1.82,[],
aten::_to_copy,83,442.86,5.34,[],
aten::rsqrt,57,214.22,3.76,[],
aten::mul,231,4964.97,21.49,[],
aten::reshape,63,245.72,3.9,[],
aten::view,84,547.65,6.52,[],
aten::sub,60,450.98,7.52,[],
aten::_has_compatible_shallow_copy_type,762,244.56,0.32,[],
aten::max,3,73.5,24.5,[],
aten::fill_,18,51.71,2.87,[],
aten::item,17,45.81,2.69,[],
aten::_local_scalar_dense,17,29.5,1.74,[],
aten::lift_fresh,1,2.02,2.02,[],
aten::unsqueeze,9,45.94,5.1,[],
aten::as_strided,157,277.5,1.77,[],
aten::permute,1,5.57,5.57,[],
aten::flip,1,693.03,693.03,[],
aten::contiguous,69,251.1,3.64,[],
aten::div_,5,810.81,162.16,[],
torchvision::_cuda_version,3,10.48,3.49,[],
aten::conv2d,64,536.04,8.38,[],
aten::convolution,64,737.4,11.52,[],
aten::_convolution,64,1089.49,17.02,[],
aten::mkldnn_convolution,62,143245.81,2310.42,[],
aten::as_strided_,64,480.76,7.51,[],
aten::resize_,66,181.19,2.75,[],
aten::silu_,57,16341.15,286.69,[],
aten::chunk,9,75.18,8.35,[],
aten::split,9,84.94,9.44,[],
aten::narrow,73,415.81,5.7,[],
aten::slice,85,474.66,5.58,[],
aten::cat,23,6694.22,291.05,[],
aten::max_pool2d,3,27.87,9.29,[],
aten::max_pool2d_with_indices,3,2749.2,916.4,[],
aten::upsample_nearest2d,2,933.57,466.78,[],
aten::ones,2,12.44,6.22,[],
aten::isfinite,1,22.39,22.39,[],
aten::eq,1,20.17,20.17,[],
aten::abs,4,43.76,10.94,[],
aten::ne,5,35.52,7.1,[],
aten::__and__,1,5.45,5.45,[],
aten::bitwise_and,1,5.57,5.57,[],
aten::masked_select,1,24.78,24.78,[],
aten::sum,1,29.56,29.56,[],
aten::min,1,8.48,8.48,[],
aten::unbind,4,49.76,12.44,[],
aten::select,39,547.18,14.03,[],
aten::ceil,3,10.85,3.62,[],
aten::is_nonzero,9,19.2,2.13,[],
aten::div,3,63.78,21.26,[],
aten::gt,4,67.32,16.83,[],
aten::lt,1,6.69,6.69,[],
aten::resolve_conj,1,1.15,1.15,[],
aten::resolve_neg,1,0.33,0.33,[],
aten::_nnpack_available,2,17.7,8.85,[],
aten::thnn_conv2d,2,16.63,8.31,[],
aten::_slow_conv2d_forward,2,1050.92,525.46,[],
aten::new_full,9,47.26,5.25,[],
aten::arange,10,106.89,10.69,[],
aten::meshgrid,3,28.59,9.53,[],
aten::expand,7,21.82,3.12,[],
aten::stack,3,17.15,5.72,[],
aten::transpose,4,18.89,4.72,[],
aten::softmax,1,19.44,19.44,[],
aten::_softmax,1,981.18,981.18,[],
aten::sigmoid,1,648.96,648.96,[],
aten::amax,1,390.53,390.53,[],
aten::zeros,2,13.34,6.67,[],
aten::index,3,103.83,34.61,[],
aten::nonzero,2,62.94,31.47,[],
aten::split_with_sizes,1,9.45,9.45,[],
torchvision::nms,1,77.0,77.0,[],
aten::sort,1,30.89,30.89,[],
aten::new_zeros,2,8.2,4.1,[],
aten::sub_,4,21.76,5.44,[],
aten::clamp_,4,27.37,6.84,[],
aten::alias,1,2.11,2.11,[],
