path,config_id,class,config_json,leaf,params,macs,input_kind,input_shapes,out_shapes,count,lat_mean_ms,lat_median_ms,lat_std_ms
model.22.cv2.0.2,8509c678becabfbf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,4160,19660800,tensor,"[[1, 64, 60, 80]]","[[1, 64, 60, 80]]",9,2.5798,2.4746,0.3347
model.22.cv2.1,2b0e95bfcbd5c89c,Sequential,"{""class"": ""Sequential""}",False,115008,,tensor,"[[1, 128, 30, 40]]","[[1, 64, 30, 40]]",9,5.2422,5.1978,0.453
model.22.cv2.1.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,73856,,tensor,"[[1, 128, 30, 40]]","[[1, 64, 30, 40]]",9,3.0432,3.1581,0.4066
model.22.cv2.1.0.conv,e738866af6faefef,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}",True,73728,88473600,tensor,"[[1, 128, 30, 40]]","[[1, 64, 30, 40]]",9,2.6004,2.4329,0.4239
model.22.cv2.1.1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,36992,,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",9,1.5334,1.4332,0.2501
model.22.cv2.1.1.conv,7123a330f783f287,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}",True,36864,44236800,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",9,1.3378,1.264,0.2182
model.22.cv2.1.2,8509c678becabfbf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,4160,4915200,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",9,0.6045,0.5902,0.0669
model.22.cv2.2,2b0e95bfcbd5c89c,Sequential,"{""class"": ""Sequential""}",False,188736,,tensor,"[[1, 256, 15, 20]]","[[1, 64, 15, 20]]",9,3.022,3.1269,0.4818
model.22.cv2.2.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,147584,,tensor,"[[1, 256, 15, 20]]","[[1, 64, 15, 20]]",9,1.7248,1.5841,0.3311
model.22.cv2.2.0.conv,cb3f2f7786092fa1,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 256, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}",True,147456,44236800,tensor,"[[1, 256, 15, 20]]","[[1, 64, 15, 20]]",9,1.5403,1.4002,0.3328
model.22.cv2.2.1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,36992,,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",9,1.0494,0.8972,0.3182
model.22.cv2.2.1.conv,7123a330f783f287,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}",True,36864,11059200,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",9,0.8847,0.7488,0.3019
model.22.cv2.2.2,8509c678becabfbf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,4160,1228800,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",9,0.1947,0.1562,0.1376
model.22.cv3.0,2b0e95bfcbd5c89c,Sequential,"{""class"": ""Sequential""}",False,110480,,tensor,"[[1, 64, 60, 80]]","[[1, 80, 60, 80]]",9,18.0229,17.3949,1.5974
model.22.cv3.0.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,46240,,tensor,"[[1, 64, 60, 80]]","[[1, 80, 60, 80]]",9,7.0141,6.8839,0.6244
model.22.cv3.0.0.conv,2c16333661199364,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 80, ""padding"": [1, 1], ""stride"": [1, 1]}",True,46080,221184000,tensor,"[[1, 64, 60, 80]]","[[1, 80, 60, 80]]",9,6.2421,6.1734,0.4649
model.22.cv3.0.1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,57760,,tensor,"[[1, 80, 60, 80]]","[[1, 80, 60, 80]]",9,7.8798,7.4251,0.8261
