op,count,self_total_us,self_mean_us,input_shapes,module_path
aten::clone,342,3856.17,11.28,[],
aten::empty_strided,447,1391.4,3.11,[],
aten::copy_,722,48092.59,66.61,[],
aten::detach,422,668.49,1.58,[],
detach,418,539.94,1.29,[],
aten::empty,1031,2850.82,2.77,[],
aten::set_,741,3540.7,4.78,[],
aten::new_empty,260,1512.94,5.82,[],
aten::zeros_like,81,278.42,3.44,[],
aten::empty_like,169,657.87,3.89,[],
aten::zero_,85,44.92,0.53,[],
aten::add,186,2439.33,13.11,[],
aten::to,722,959.6,1.33,[],
aten::_to_copy,108,500.23,4.63,[],
aten::rsqrt,81,254.04,3.14,[],
aten::mul,328,3987.04,12.16,[],
aten::reshape,100,341.05,3.41,[],
aten::view,126,514.33,4.08,[],
aten::sub,84,472.64,5.63,[],
aten::_has_compatible_shallow_copy_type,1050,281.06,0.27,[],
aten::max,3,74.96,24.99,[],
aten::fill_,18,51.68,2.87,[],
aten::item,17,39.41,2.32,[],
aten::_local_scalar_dense,17,16.37,0.96,[],
aten::lift_fresh,1,3.5,3.5,[],
aten::unsqueeze,9,45.76,5.08,[],
aten::as_strided,182,349.01,1.92,[],
aten::permute,1,5.7,5.7,[],
aten::flip,1,723.05,723.05,[],
aten::contiguous,85,268.33,3.16,[],
aten::div_,5,722.85,144.57,[],
torchvision::_cuda_version,3,11.0,3.67,[],
aten::conv2d,88,705.74,8.02,[],
aten::convolution,88,792.48,9.01,[],
aten::_convolution,88,1448.9,16.46,[],
aten::mkldnn_convolution,78,149369.93,1915.0,[],
aten::as_strided_,80,582.68,7.28,[],
aten::resize_,90,254.93,2.83,[],
aten::silu_,77,20015.07,259.94,[],
aten::chunk,9,58.61,6.51,[],
aten::split,9,63.88,7.1,[],
aten::narrow,75,395.57,5.27,[],
aten::slice,87,470.4,5.41,[],
aten::cat,27,6890.19,255.19,[],
aten::_nnpack_available,10,23.98,2.4,[],
aten::thnn_conv2d,10,70.31,7.03,[],
aten::_slow_conv2d_forward,10,5133.14,513.31,[],
aten::max_pool2d,3,28.57,9.52,[],
aten::max_pool2d_with_indices,3,2712.14,904.05,[],
aten::split_with_sizes,3,28.82,9.61,[],
aten::transpose,6,30.91,5.15,[],
aten::matmul,2,84.54,42.27,[],
aten::expand,11,37.96,3.45,[],
aten::_reshape_alias,4,4.35,1.09,[],
aten::bmm,2,1316.75,658.37,[],
aten::resolve_conj,13,7.96,0.61,[],
aten::select,51,196.67,3.86,[],
aten::_unsafe_view,3,8.0,2.67,[],
aten::softmax,2,163.98,81.99,[],
aten::_softmax,2,1322.14,661.07,[],
aten::upsample_nearest2d,2,568.18,284.09,[],
aten::ones,2,11.48,5.74,[],
aten::isfinite,1,21.98,21.98,[],
aten::eq,1,25.2,25.2,[],
aten::abs,4,53.28,13.32,[],
aten::ne,5,41.48,8.3,[],
aten::__and__,1,29.07,29.07,[],
aten::bitwise_and,1,6.85,6.85,[],
aten::masked_select,1,30.65,30.65,[],
aten::sum,1,35.85,35.85,[],
aten::min,1,10.41,10.41,[],
aten::unbind,4,18.28,4.57,[],
aten::ceil,3,12.76,4.25,[],
aten::is_nonzero,9,15.09,1.68,[],
aten::div,3,61.37,20.46,[],
aten::gt,4,68.08,17.02,[],
aten::lt,1,6.52,6.52,[],
aten::resolve_neg,1,0.33,0.33,[],
aten::new_full,9,43.37,4.82,[],
aten::arange,10,114.57,11.46,[],
aten::meshgrid,3,28.41,9.47,[],
aten::stack,3,17.55,5.85,[],
aten::sigmoid,1,631.18,631.18,[],
aten::amax,1,1005.9,1005.9,[],
aten::zeros,2,11.74,5.87,[],
aten::index,3,68.92,22.97,[],
aten::nonzero,2,55.54,27.77,[],
torchvision::nms,1,110.83,110.83,[],
aten::sort,1,31.67,31.67,[],
aten::new_zeros,2,8.09,4.05,[],
aten::sub_,4,19.35,4.84,[],
aten::clamp_,4,27.31,6.83,[],
aten::alias,1,2.11,2.11,[],
