path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
tok,905c58d5b10ce1c5,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}","[[1, 16]]","[""torch.int64""]","[[1, 16, 64]]",tok,prefill,True,16384,1024,69760,0.0147,1,1,25,0.0458,0.0418,0.0202
tok,d908ade19db0c477,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}","[[1, 1]]","[""torch.int64""]","[[1, 1, 64]]",tok,decode,True,16384,64,65800,0.001,1,1,25,0.0403,0.0366,0.0183
qkv.0,82e91f2b2f62d992,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 192}","[[1, 16, 64]]","[""torch.float32""]","[[1, 16, 192]]",qkv.0,prefill,True,12480,196608,66304,2.9653,16,16,25,0.5554,0.5502,0.4214
qkv.0,92de7645560e2e7c,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 192}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 192]]",qkv.0,decode,True,12480,12288,50944,0.2412,1,1,25,0.6544,0.2372,0.6107
qkv.1,82e91f2b2f62d992,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 192}","[[1, 16, 64]]","[""torch.float32""]","[[1, 16, 192]]",qkv.1,prefill,True,12480,196608,66304,2.9653,16,16,25,0.5031,0.1348,0.4444
qkv.1,92de7645560e2e7c,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 192}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 192]]",qkv.1,decode,True,12480,12288,50944,0.2412,1,1,25,0.522,0.1236,0.6445
proj.0,5dc44c2e3196e20e,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 64}","[[1, 16, 64]]","[""torch.float32""]","[[1, 16, 64]]",proj.0,prefill,True,4160,65536,24832,2.6392,16,16,25,0.4997,0.1732,0.436
proj.0,890b0c604eb5ed51,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 64}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",proj.0,decode,True,4160,4096,17152,0.2388,1,1,25,0.4024,0.1269,0.388
proj.1,5dc44c2e3196e20e,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 64}","[[1, 16, 64]]","[""torch.float32""]","[[1, 16, 64]]",proj.1,prefill,True,4160,65536,24832,2.6392,16,16,25,0.5466,0.5331,0.4394
proj.1,890b0c604eb5ed51,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 64}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",proj.1,decode,True,4160,4096,17152,0.2388,1,1,25,0.3647,0.1169,0.386
n1.0,759d48b07800d479,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 16, 64]]","[""torch.float32""]","[[1, 16, 64]]",n1.0,prefill,True,128,2048,8704,0.2353,16,16,25,0.1302,0.0514,0.1247
n1.0,4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",n1.0,decode,True,128,128,1024,0.125,1,1,25,0.0242,0.0224,0.0063
n1.1,759d48b07800d479,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 16, 64]]","[""torch.float32""]","[[1, 16, 64]]",n1.1,prefill,True,128,2048,8704,0.2353,16,16,25,0.2005,0.0215,0.2082
n1.1,4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",n1.1,decode,True,128,128,1024,0.125,1,1,25,0.0168,0.0163,0.0012
n2.0,759d48b07800d479,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 16, 64]]","[""torch.float32""]","[[1, 16, 64]]",n2.0,prefill,True,128,2048,8704,0.2353,16,16,25,0.1957,0.0382,0.1932
n2.0,4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",n2.0,decode,True,128,128,1024,0.125,1,1,25,0.0297,0.028,0.0081
n2.1,759d48b07800d479,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 16, 64]]","[""torch.float32""]","[[1, 16, 64]]",n2.1,prefill,True,128,2048,8704,0.2353,16,16,25,0.2399,0.2118,0.2148
n2.1,4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",n2.1,decode,True,128,128,1024,0.125,1,1,25,0.0268,0.0238,0.0054
head,a8e76eeec3664255,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 256}","[[1, 16, 64]]","[""torch.float32""]","[[1, 16, 256]]",head,prefill,True,16640,262144,87040,3.0118,16,16,25,0.5498,0.5266,0.4317
head,264d4c26cb15a7ab,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 256}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 256]]",head,decode,True,16640,16384,67840,0.2415,1,1,25,0.4776,0.1193,0.573
