t_ms,temp_C,arm_MHz,throttle_bits
0.5557930016948376,51.0,2400,327680
5062.622563000332,52.7,2400,327680
10111.438684001769,57.1,2400,327680
15183.949058002327,60.9,2400,327680
20243.424782001966,59.3,2400,327680
25292.992779002816,62.0,2400,327680
30343.22053700089,60.4,2400,327680
35390.37333800297,64.2,2400,327680
40447.24180200137,62.6,2400,327680
45506.78925200191,65.3,2400,327680
50557.82582200118,67.0,2400,327680
55616.17216200102,64.8,2400,327680
60671.79721300272,64.8,2400,327680
65718.83125500244,62.6,2400,327680
70771.29237700137,64.2,2400,327680
75819.52457300213,65.9,2400,327680
80871.05605000033,65.3,2400,327680
85929.72567200195,67.0,2400,327680
90980.79422400042,65.3,2400,327680
96029.21263600001,65.3,2400,327680
101079.83372700255,65.3,2400,327680
