op,count,self_total_us,self_mean_us,input_shapes,module_path
aten::lift_fresh,1,2.74,2.74,[],
aten::unsqueeze,3,28.17,9.39,[],
aten::as_strided,151,583.64,3.87,[],
aten::to,23,40.5,1.76,[],
aten::permute,1,7.2,7.2,[],
aten::flip,1,663.83,663.83,[],
aten::empty_like,88,271.05,3.08,[],
aten::empty_strided,19,56.57,2.98,[],
aten::contiguous,85,256.34,3.02,[],
aten::clone,86,598.56,6.96,[],
aten::empty,275,1735.55,6.31,[],
aten::copy_,128,42186.24,329.58,[],
aten::_to_copy,17,97.0,5.71,[],
aten::div_,5,802.83,160.57,[],
aten::conv2d,88,680.35,7.73,[],
aten::convolution,88,769.32,8.74,[],
aten::_convolution,88,1370.56,15.57,[],
aten::mkldnn_convolution,78,121888.73,1562.68,[],
aten::as_strided_,80,583.61,7.3,[],
aten::resize_,90,251.35,2.79,[],
aten::silu_,77,19948.48,259.07,[],
aten::chunk,9,92.93,10.33,[],
aten::split,9,150.56,16.73,[],
aten::narrow,69,324.4,4.7,[],
aten::slice,81,487.1,6.01,[],
aten::add,18,1368.64,76.04,[],
aten::cat,22,7165.58,325.71,[],
aten::_nnpack_available,10,9.52,0.95,[],
aten::thnn_conv2d,10,59.48,5.95,[],
aten::_slow_conv2d_forward,10,4877.65,487.77,[],
aten::view,35,151.24,4.32,[],
aten::reshape,18,64.65,3.59,[],
aten::max_pool2d,3,21.85,7.28,[],
aten::max_pool2d_with_indices,3,2715.98,905.33,[],
aten::split_with_sizes,3,26.17,8.72,[],
aten::mul,3,56.15,18.72,[],
aten::transpose,4,25.54,6.38,[],
aten::matmul,2,60.43,30.21,[],
aten::expand,5,24.35,4.87,[],
aten::_reshape_alias,4,4.5,1.12,[],
aten::bmm,2,1274.54,637.27,[],
aten::resolve_conj,12,3.84,0.32,[],
aten::select,42,157.79,3.76,[],
aten::_unsafe_view,3,33.17,11.06,[],
aten::softmax,2,24.76,12.38,[],
aten::_softmax,2,1205.1,602.55,[],
aten::upsample_nearest2d,2,492.98,246.49,[],
aten::ones,2,22.63,11.32,[],
aten::fill_,5,14.09,2.82,[],
aten::detach,1,2.85,2.85,[],
aten::sub,3,89.59,29.86,[],
aten::div,2,45.32,22.66,[],
aten::sigmoid,1,704.55,704.55,[],
aten::amax,1,368.11,368.11,[],
aten::gt,2,36.41,18.2,[],
aten::arange,4,36.35,9.09,[],
aten::zeros,2,10.21,5.1,[],
aten::zero_,4,6.44,1.61,[],
aten::unbind,2,6.63,3.31,[],
aten::index,3,73.61,24.54,[],
aten::nonzero,2,41.85,20.93,[],
aten::max,1,33.63,33.63,[],
torchvision::nms,1,128.95,128.95,[],
aten::new_empty,4,17.42,4.36,[],
aten::sort,1,36.5,36.5,[],
aten::new_zeros,2,10.04,5.02,[],
aten::sub_,4,25.06,6.26,[],
aten::clamp_,4,20.04,5.01,[],
aten::alias,1,1.72,1.72,[],
