op,mode,count,self_total_us,self_mean_us,input_shapes
aten::randint,prefill,1,26.24,26.24,[]
aten::empty,prefill,20,40.5,2.02,[]
aten::random_,prefill,1,17.98,17.98,[]
aten::embedding,prefill,1,13.78,13.78,[]
aten::reshape,prefill,3,8.54,2.85,[]
aten::view,prefill,28,68.28,2.44,[]
aten::index_select,prefill,1,34.96,34.96,[]
aten::select,prefill,2,17.11,8.56,[]
aten::as_strided,prefill,39,46.85,1.2,[]
aten::mul,prefill,1,23.65,23.65,[]
aten::to,prefill,1,2.37,2.37,[]
aten::_to_copy,prefill,1,7.45,7.45,[]
aten::empty_strided,prefill,3,13.26,4.42,[]
aten::copy_,prefill,6,63.65,10.61,[]
aten::slice,prefill,7,33.89,4.84,[]
aten::add,prefill,5,63.22,12.64,[]
aten::layer_norm,prefill,4,22.09,5.52,[]
aten::native_layer_norm,prefill,4,127.57,31.89,[]
aten::linear,prefill,5,68.04,13.61,[]
aten::t,prefill,5,17.59,3.52,[]
aten::transpose,prefill,25,81.55,3.26,[]
aten::addmm,prefill,5,783.35,156.67,[]
aten::expand,prefill,5,17.43,3.49,[]
aten::resolve_conj,prefill,10,3.11,0.31,[]
aten::chunk,prefill,2,8.31,4.16,[]
aten::split,prefill,2,23.56,11.78,[]
aten::narrow,prefill,6,21.04,3.51,[]
aten::scaled_dot_product_attention,prefill,2,17.17,8.58,[]
aten::_scaled_dot_product_flash_attention_for_cpu,prefill,2,347.81,173.91,[]
aten::empty_like,prefill,2,9.48,4.74,[]
aten::randint,decode,1,24.24,24.24,[]
aten::empty,decode,20,32.37,1.62,[]
aten::random_,decode,1,13.52,13.52,[]
aten::embedding,decode,1,16.02,16.02,[]
aten::reshape,decode,3,8.52,2.84,[]
aten::view,decode,28,64.97,2.32,[]
aten::index_select,decode,1,19.13,19.13,[]
aten::select,decode,2,10.93,5.46,[]
aten::as_strided,decode,39,41.69,1.07,[]
aten::mul,decode,1,22.76,22.76,[]
aten::to,decode,1,3.52,3.52,[]
aten::_to_copy,decode,1,8.69,8.69,[]
aten::empty_strided,decode,3,14.03,4.68,[]
aten::copy_,decode,6,32.32,5.39,[]
aten::slice,decode,7,34.09,4.87,[]
aten::add,decode,5,35.3,7.06,[]
aten::layer_norm,decode,4,16.28,4.07,[]
aten::native_layer_norm,decode,4,61.09,15.27,[]
aten::linear,decode,5,67.13,13.43,[]
aten::t,decode,5,18.22,3.64,[]
aten::transpose,decode,25,111.16,4.45,[]
aten::addmm,decode,5,702.49,140.5,[]
aten::expand,decode,5,14.76,2.95,[]
aten::resolve_conj,decode,10,3.35,0.34,[]
aten::chunk,decode,2,9.46,4.73,[]
aten::split,decode,2,22.5,11.25,[]
aten::narrow,decode,6,22.83,3.81,[]
aten::scaled_dot_product_attention,decode,2,17.72,8.86,[]
aten::_scaled_dot_product_flash_attention_for_cpu,decode,2,66.72,33.36,[]
aten::empty_like,decode,2,8.35,4.18,[]
