t_ms,phase,window_id,I_A,V_V,P_W
4.502437004703097,warmup,1,1.55382,0.9283507,1.442489884674
9.523258006083779,warmup,1,1.56275,0.9286194,1.45119996735
34.6431790094357,warmup,1,1.55382,0.928888,1.4433247521600001
39.76672200951725,warmup,1,2.75044,0.9280821,2.5526341311240004
70.2670340106124,warmup,1,2.43789,0.928888,2.26452676632
78.80185800604522,warmup,1,4.04529,0.9294252,3.7597944673079993
84.15632401010953,warmup,1,4.50965,0.9294252,4.19138235318
88.4533930075122,warmup,1,4.13459,0.9304997,3.8472347546230004
94.92549601418432,warmup,1,4.09887,0.9296938,3.810694026006
101.67702300532255,warmup,1,2.44682,0.928888,2.2728217361600005
107.0908590045292,warmup,1,4.75076,0.9280821,4.409095317396
114.45013900811318,warmup,1,4.70611,0.9286194,4.370185044534
121.73475300369319,warmup,1,4.26854,0.9286194,3.963849053676
130.82309000310488,warmup,1,4.14352,0.928888,3.8488660057599997
139.77303900173865,warmup,1,2.45575,0.9294252,2.2824359349
148.30171500216238,warmup,1,7.143999,0.9299625,6.6436511700375
152.80046701082028,warmup,1,7.69766,0.9291566,7.152331593556
157.53471700008959,warmup,1,3.67023,0.9296938,3.4121900755740002
162.42185400915332,warmup,1,3.13443,0.9280821,2.909008376703
169.5140630035894,warmup,1,2.58077,0.928888,2.39724628376
174.6906970074633,warmup,1,4.79541,0.9294252,4.456974898332001
178.9861740107881,warmup,1,8.358479,0.9296938,7.770826103730201
185.7584960089298,warmup,1,4.99187,0.928888,4.63688814056
192.8865750087425,warmup,1,3.67916,0.9291566,3.418515796456
197.4672520009335,warmup,1,5.68841,0.928888,5.283895788080001
202.53429500735365,warmup,1,4.00957,0.9280821,3.7212101456970004
207.110769013525,warmup,1,4.974009,0.9291566,4.6216332908094
211.40944900980685,warmup,1,4.87578,0.9286194,4.527743898132
215.99103401240427,warmup,1,4.71504,0.9280821,4.375944224784
220.43606400256976,warmup,1,7.58157,0.9291566,7.044465803862
225.55021800508257,warmup,1,8.483499,0.9280821,7.873383567267901
230.14245100785047,warmup,1,2.90225,0.9296938,2.69820383105
235.25351200078148,warmup,1,2.5004,0.9291566,2.32326316264
241.30739700922277,warmup,1,2.60756,0.9294252,2.4235319745119996
248.2298850081861,warmup,1,5.17047,0.928888,4.80278753736
253.81449700216763,warmup,1,2.69686,0.928888,2.50508089168
258.7351340043824,warmup,1,2.69686,0.9286194,2.504356515084
263.45188400591724,warmup,1,4.88471,0.928888,4.53734850248
