t_ms,temp_C,arm_MHz,throttle_bits
0.5570879984588828,53.8,2400,327680
5049.847367998154,52.7,2400,327680
10095.971057999122,59.8,2400,327680
15152.796341000794,59.3,2400,327680
20223.235376000957,64.8,2400,327680
25278.589142999408,62.6,2400,327680
30332.159640998725,62.6,2400,327680
35386.27342700056,65.3,2400,327680
40440.12352400023,65.9,2400,327680
45491.99902300097,64.8,2400,327680
50547.82327999783,65.3,2400,327680
55599.15918099796,66.4,2400,327680
60649.7548619991,67.5,2400,327680
65703.55053000094,68.1,2400,327680
70757.72522699845,68.6,2400,327680
75807.26797699754,68.1,2400,327680
80859.72564300027,67.0,2400,327680
85917.00198800027,68.6,2400,327680
90969.50127499804,68.6,2400,327680
96023.34113899997,62.0,2400,327680
101241.27964599757,64.8,2400,327680
106293.00187099943,65.9,2400,327680
111349.5897549983,68.6,2400,327680
116400.82267999969,68.6,2400,327680
121457.57518499886,67.5,2400,327680
126508.55536299787,69.2,2400,327680
131558.55669399898,67.5,2400,327680
136612.73741200057,66.4,2400,327680
141664.968011999,68.6,2400,327680
146718.30361899993,67.0,2400,327680
151768.49115499863,67.0,2400,327680
