path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
features.6.3.block.3.1,5d51e193efd8383e,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],\n       requires_grad=True)"", ""class"": ""BatchNorm2d"", ""eps"": 1e-05}","[[1, 192, 7, 7]]","[""torch.float32""]","[[1, 192, 7, 7]]",features.6.3.block.3.1,forward,True,384,,75264,,15,0.1559,0.0755,0.2263
features.6.3.stochastic_depth,304c561894273559,StochasticDepth,"{""class"": ""StochasticDepth""}","[[1, 192, 7, 7]]","[""torch.float32""]","[[1, 192, 7, 7]]",features.6.3.stochastic_depth,forward,True,0,,75264,,15,0.0146,0.0144,0.0007
features.7,92d5c0f15160ae7b,Sequential,"{""class"": ""Sequential""}","[[1, 192, 7, 7]]","[""torch.float32""]","[[1, 320, 7, 7]]",features.7,forward,False,717232,,100352,,15,4.9574,5.027,0.504
features.7.0,0af3347e1fd7f284,MBConv,"{""class"": ""MBConv"", ""out_channels"": 320}","[[1, 192, 7, 7]]","[""torch.float32""]","[[1, 320, 7, 7]]",features.7.0,forward,False,717232,,100352,,15,4.9227,4.9961,0.4981
features.7.0.block,92d5c0f15160ae7b,Sequential,"{""class"": ""Sequential""}","[[1, 192, 7, 7]]","[""torch.float32""]","[[1, 320, 7, 7]]",features.7.0.block,forward,False,717232,,100352,,15,4.8931,4.9669,0.4975
features.7.0.block.0,02ca1a5acada60ce,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation"", ""out_channels"": 1152}","[[1, 192, 7, 7]]","[""torch.float32""]","[[1, 1152, 7, 7]]",features.7.0.block.0,forward,False,223488,,263424,,15,1.0891,0.9746,0.2304
features.7.0.block.0.0,c933b5319e29b120,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 192, ""kernel_size"": [1, 1], ""out_channels"": 1152, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 192, 7, 7]]","[""torch.float32""]","[[1, 1152, 7, 7]]",features.7.0.block.0.0,forward,True,221184,10838016,263424,41.1429,15,0.6712,0.5543,0.2254
features.7.0.block.0.1,7d455efd2b13f071,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0.,  ..., 0., 0., 0.], requires_grad=True)"", ""class"": ""BatchNorm2d"", ""eps"": 1e-05}","[[1, 1152, 7, 7]]","[""torch.float32""]","[[1, 1152, 7, 7]]",features.7.0.block.0.1,forward,True,2304,,451584,,15,0.1218,0.1163,0.0115
features.7.0.block.0.2,db046aac80c82fec,SiLU,"{""class"": ""SiLU""}","[[1, 1152, 7, 7]]","[""torch.float32""]","[[1, 1152, 7, 7]]",features.7.0.block.0.2,forward,True,0,,451584,,15,0.1527,0.1571,0.0105
features.7.0.block.1,2a73835c4ecc9e07,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation"", ""out_channels"": 1152}","[[1, 1152, 7, 7]]","[""torch.float32""]","[[1, 1152, 7, 7]]",features.7.0.block.1,forward,False,12672,,451584,,15,1.1686,1.0009,0.3538
