t_ms,temp_C,arm_MHz,throttle_bits
0.5703290007659234,49.9,2400,327680
5049.90348100182,49.9,2400,327680
10126.485750999564,58.2,2400,327680
15175.737082001433,58.2,2400,327680
20247.158850001142,63.7,2400,327680
25298.456214000907,60.9,2400,327680
30352.913130998786,61.5,2400,327680
35408.6332859988,62.6,2400,327680
40463.48367700193,64.2,2400,327680
45516.145757999766,63.1,2400,327680
50569.27941599861,65.3,2400,327680
55620.00734100002,64.8,2400,327680
60668.854937001015,66.4,2400,327680
65722.18291099853,66.4,2400,327680
70780.77395999935,65.9,2400,327680
75835.002996002,67.0,2400,327680
80880.54374000058,67.5,2400,327680
85930.67821400109,67.5,2400,327680
90979.80562900193,66.4,2400,327680
96033.75760500057,62.6,2400,327680
101246.5787809997,65.3,2400,327680
106300.88530600187,65.3,2400,327680
111352.33812300066,68.6,2400,327680
116407.39645500071,66.4,2400,327680
121466.44028100127,68.1,2400,327680
126521.98805100124,66.4,2400,327680
131574.76953800142,65.3,2400,327680
136622.47125900103,64.2,2400,327680
141675.48366900155,66.4,2400,327680
146727.82783300136,65.9,2400,327680
