op,count,self_total_us,self_mean_us,input_shapes,module_path
aten::clone,342,4249.95,12.43,[],
aten::empty_strided,447,1479.39,3.31,[],
aten::copy_,722,52017.72,72.05,[],
aten::detach,422,681.68,1.62,[],
detach,418,571.25,1.37,[],
aten::empty,1031,2828.4,2.74,[],
aten::set_,741,4000.62,5.4,[],
aten::new_empty,260,1415.75,5.45,[],
aten::zeros_like,81,349.04,4.31,[],
aten::empty_like,169,643.01,3.8,[],
aten::zero_,85,46.2,0.54,[],
aten::add,186,2648.61,14.24,[],
aten::to,722,1226.64,1.7,[],
aten::_to_copy,108,537.62,4.98,[],
aten::rsqrt,81,272.37,3.36,[],
aten::mul,328,4374.34,13.34,[],
aten::reshape,100,397.0,3.97,[],
aten::view,126,745.16,5.91,[],
aten::sub,84,526.64,6.27,[],
aten::_has_compatible_shallow_copy_type,1050,311.71,0.3,[],
aten::max,3,79.56,26.52,[],
aten::fill_,18,47.89,2.66,[],
aten::item,17,40.99,2.41,[],
aten::_local_scalar_dense,17,16.7,0.98,[],
aten::lift_fresh,1,1.56,1.56,[],
aten::unsqueeze,9,48.07,5.34,[],
aten::as_strided,182,481.0,2.64,[],
aten::permute,1,5.83,5.83,[],
aten::flip,1,735.92,735.92,[],
aten::contiguous,85,324.27,3.81,[],
aten::div_,5,709.42,141.88,[],
torchvision::_cuda_version,3,11.5,3.83,[],
aten::conv2d,88,708.22,8.05,[],
aten::convolution,88,837.7,9.52,[],
aten::_convolution,88,1388.93,15.78,[],
aten::mkldnn_convolution,78,143079.69,1834.36,[],
aten::as_strided_,80,601.58,7.52,[],
aten::resize_,90,260.54,2.89,[],
aten::silu_,77,21243.23,275.89,[],
aten::chunk,9,103.85,11.54,[],
aten::split,9,102.71,11.41,[],
aten::narrow,75,903.86,12.05,[],
aten::slice,87,616.04,7.08,[],
aten::cat,27,6913.86,256.07,[],
aten::_nnpack_available,10,24.57,2.46,[],
aten::thnn_conv2d,10,68.63,6.86,[],
aten::_slow_conv2d_forward,10,5379.88,537.99,[],
aten::max_pool2d,3,33.91,11.3,[],
aten::max_pool2d_with_indices,3,2930.05,976.68,[],
aten::split_with_sizes,3,27.44,9.15,[],
aten::transpose,6,74.35,12.39,[],
aten::matmul,2,69.85,34.93,[],
aten::expand,11,480.48,43.68,[],
aten::_reshape_alias,4,4.26,1.06,[],
aten::bmm,2,1491.97,745.98,[],
aten::resolve_conj,13,7.47,0.57,[],
aten::select,51,210.83,4.13,[],
aten::_unsafe_view,3,9.13,3.04,[],
aten::softmax,2,86.8,43.4,[],
aten::_softmax,2,1311.17,655.59,[],
aten::upsample_nearest2d,2,565.81,282.91,[],
aten::ones,2,11.52,5.76,[],
aten::isfinite,1,27.2,27.2,[],
aten::eq,1,27.68,27.68,[],
aten::abs,4,44.2,11.05,[],
aten::ne,5,43.56,8.71,[],
aten::__and__,1,5.41,5.41,[],
aten::bitwise_and,1,4.93,4.93,[],
aten::masked_select,1,29.2,29.2,[],
aten::sum,1,31.7,31.7,[],
aten::min,1,9.0,9.0,[],
aten::unbind,4,19.63,4.91,[],
aten::ceil,3,11.2,3.73,[],
aten::is_nonzero,9,17.39,1.93,[],
aten::div,3,89.17,29.72,[],
aten::gt,4,133.18,33.3,[],
aten::lt,1,5.89,5.89,[],
aten::resolve_neg,1,0.35,0.35,[],
aten::new_full,9,43.04,4.78,[],
aten::arange,10,122.02,12.2,[],
aten::meshgrid,3,27.3,9.1,[],
aten::stack,3,16.33,5.44,[],
aten::sigmoid,1,857.42,857.42,[],
aten::amax,1,576.74,576.74,[],
aten::zeros,2,11.91,5.95,[],
aten::index,3,69.48,23.16,[],
aten::nonzero,2,56.66,28.33,[],
torchvision::nms,1,115.95,115.95,[],
aten::sort,1,31.87,31.87,[],
aten::new_zeros,2,9.24,4.62,[],
aten::sub_,4,20.34,5.08,[],
aten::clamp_,4,24.94,6.24,[],
aten::alias,1,1.8,1.8,[],
