config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,t_eff,seq_len,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,baseline_interp_W,P_delta_ABAB_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
8de7bac41945387e,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","{'args': [{'k': 'tensor', 'shape': [1, 128, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 204800}], 'kwargs': {}}","[[1, 128, 20, 20]]","[""torch.float32""]",102400,410624,400,400,2.54,21576,0.0927,4.870894,4.022057,0.887658,3.983236,0.372822,59.8,59.8,1800,2100,333,False,,
2aa17c28d5c07f2a,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 64, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 102400}], 'kwargs': {}}","[[1, 64, 20, 20]]","[""torch.float32""]",14745600,352256,400,400,2.54,3219,0.6218,5.770205,4.921368,0.872852,4.897353,3.060321,58.7,59.3,1800,2000,292,False,,
84ef5338b41f8143,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 256, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 256, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}","[[1, 256, 20, 20]]","[""torch.float32""]",13107200,745472,400,400,2.539,2875,0.6961,6.318187,5.46935,0.897872,5.420315,3.807356,60.9,60.4,2300,2100,298,False,,
79484bad42a8ed32,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 512, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 512, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 512, 20, 20]]","[""torch.float32""]",52428800,1753088,400,400,2.54,969,2.0645,5.042729,4.193892,0.905348,4.137381,8.658461,60.4,59.8,2300,2200,331,False,,
2dc12e0869bccbe7,MaxPool2d,"{""class"": ""MaxPool2d""}","{'args': [{'k': 'tensor', 'shape': [1, 128, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 204800}], 'kwargs': {}}","[[1, 128, 20, 20]]","[""torch.float32""]",51200,409600,1,1,2.539,2680,0.7465,5.564937,4.7161,0.893981,4.670955,3.520363,59.8,60.9,2000,2000,283,False,,
877fd08139a99eff,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 128, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 204800}], 'kwargs': {}}","[[1, 128, 20, 20]]","[""torch.float32""]",13107200,745472,400,400,2.538,2583,0.7745,5.205994,4.357157,0.898312,4.307682,3.374713,59.8,59.8,1600,1900,257,False,,
6a1a4bd11d362b86,Identity,"{""class"": ""Identity""}","{'args': [{'k': 'tensor', 'shape': [1, 256, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}","[[1, 256, 20, 20]]","[""torch.float32""]",102400,819200,1,1,2.538,122037,0.0164,2.770742,1.921905,0.867531,1.903211,0.031497,59.8,58.7,1600,2000,47,False,,
040a03fffb67230a,Identity,"{""class"": ""Identity""}","{'args': [{'k': 'tensor', 'shape': [1, 128, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 204800}], 'kwargs': {}}","[[1, 128, 20, 20]]","[""torch.float32""]",51200,409600,1,1,2.551,135977,0.0147,2.705114,1.856277,0.850684,1.85443,0.027302,57.6,55.4,1500,2300,51,False,,
0723851655ff687b,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 128, ""has_bias"": false, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 128, ""padding"": [1, 1], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 128, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 204800}], 'kwargs': {}}","[[1, 128, 20, 20]]","[""torch.float32""]",460800,414208,400,400,2.538,4757,0.4204,5.056703,4.207866,0.830831,4.225873,1.769185,56.5,58.2,1900,2100,337,False,,
93c5d930f57eefe9,Upsample,"{""class"": ""Upsample""}","{'args': [{'k': 'tensor', 'shape': [1, 256, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}","[[1, 256, 20, 20]]","[""torch.float32""]",409600,2048000,1,1,2.542,871,2.2976,4.209767,3.36093,0.859106,3.35066,7.722191,58.7,58.2,2400,2300,286,False,,
