t_ms,temp_C,arm_MHz,throttle_bits
0.5521249986486509,53.2,2400,327680
5063.1151249981485,52.1,2400,327680
10112.410980997083,59.3,2400,327680
15178.866588998062,62.6,2400,327680
20239.44632599887,63.1,2400,327680
25288.257129999693,63.1,2400,327680
30346.222918997228,63.7,2400,327680
35397.24456900149,65.3,2400,327680
40452.92361199972,64.2,2400,327680
45507.89794499724,65.9,2400,327680
50556.03006399906,65.3,2400,327680
55605.876342000556,66.4,2400,327680
60658.6655659994,67.0,2400,327680
65710.32084200124,64.2,2400,327680
70767.50059899496,64.8,2400,327680
75824.26693999878,68.6,2400,327680
80875.87059100042,67.0,2400,327680
85934.19411899959,65.9,2400,327680
90982.66299600073,64.8,2400,327680
96033.89459799655,67.0,2400,327680
