op,count,self_total_us,self_mean_us,input_shapes,module_path
aten::lift_fresh,1,2.65,2.65,[],
aten::unsqueeze,3,310.15,103.38,[],
aten::as_strided,131,267.93,2.05,[],
aten::to,20,37.96,1.9,[],
aten::permute,1,7.89,7.89,[],
aten::flip,1,671.25,671.25,[],
aten::empty_like,84,295.97,3.52,[],
aten::empty_strided,16,58.67,3.67,[],
aten::contiguous,81,248.1,3.06,[],
aten::clone,82,594.44,7.25,[],
aten::empty,265,1707.47,6.44,[],
aten::copy_,119,41793.04,351.2,[],
aten::_to_copy,14,92.19,6.58,[],
aten::div_,5,865.01,173.0,[],
aten::conv2d,88,686.41,7.8,[],
aten::convolution,88,747.36,8.49,[],
aten::_convolution,88,1407.25,15.99,[],
aten::mkldnn_convolution,78,126569.9,1622.69,[],
aten::as_strided_,79,539.94,6.83,[],
aten::resize_,89,247.49,2.78,[],
aten::silu_,77,20048.17,260.37,[],
aten::chunk,9,57.56,6.4,[],
aten::split,9,62.39,6.93,[],
aten::narrow,64,313.31,4.9,[],
aten::slice,73,458.83,6.29,[],
aten::add,17,2308.35,135.79,[],
aten::cat,21,7178.89,341.85,[],
aten::_nnpack_available,10,10.29,1.03,[],
aten::thnn_conv2d,10,63.7,6.37,[],
aten::_slow_conv2d_forward,10,5101.75,510.17,[],
aten::view,32,148.72,4.65,[],
aten::reshape,16,57.57,3.6,[],
aten::max_pool2d,3,21.35,7.12,[],
aten::max_pool2d_with_indices,3,2851.16,950.39,[],
aten::split_with_sizes,2,20.61,10.31,[],
aten::mul,2,55.18,27.59,[],
aten::transpose,4,21.33,5.33,[],
aten::matmul,2,47.18,23.59,[],
aten::expand,5,21.74,4.35,[],
aten::_reshape_alias,4,3.69,0.92,[],
aten::bmm,2,992.2,496.1,[],
aten::resolve_conj,12,2.93,0.24,[],
aten::select,36,147.5,4.1,[],
aten::_unsafe_view,3,7.96,2.65,[],
aten::softmax,2,20.63,10.32,[],
aten::_softmax,2,1304.21,652.11,[],
aten::upsample_nearest2d,2,689.79,344.9,[],
aten::ones,2,22.87,11.43,[],
aten::fill_,5,21.13,4.23,[],
aten::detach,1,2.5,2.5,[],
aten::sub,3,86.81,28.94,[],
aten::div,2,44.83,22.42,[],
aten::sigmoid,1,702.7,702.7,[],
aten::amax,1,349.31,349.31,[],
aten::gt,1,29.33,29.33,[],
aten::arange,2,23.02,11.51,[],
aten::zeros,2,11.16,5.58,[],
aten::zero_,2,5.2,2.6,[],
aten::unbind,2,6.07,3.04,[],
aten::index,1,20.48,20.48,[],
aten::nonzero,1,17.19,17.19,[],
aten::sub_,4,29.5,7.38,[],
aten::clamp_,4,22.65,5.66,[],
aten::alias,1,2.93,2.93,[],
