op,mode,count,self_total_us,self_mean_us,input_shapes
aten::randint,prefill,1,27.46,27.46,[]
aten::empty,prefill,20,41.03,2.05,[]
aten::random_,prefill,1,18.09,18.09,[]
aten::embedding,prefill,1,16.57,16.57,[]
aten::reshape,prefill,3,9.83,3.28,[]
aten::view,prefill,28,71.65,2.56,[]
aten::index_select,prefill,1,33.83,33.83,[]
aten::select,prefill,2,17.3,8.65,[]
aten::as_strided,prefill,39,52.61,1.35,[]
aten::mul,prefill,1,22.69,22.69,[]
aten::to,prefill,1,2.74,2.74,[]
aten::_to_copy,prefill,1,7.59,7.59,[]
aten::empty_strided,prefill,3,14.56,4.85,[]
aten::copy_,prefill,6,61.7,10.28,[]
aten::slice,prefill,7,34.74,4.96,[]
aten::add,prefill,5,53.0,10.6,[]
aten::layer_norm,prefill,4,19.02,4.75,[]
aten::native_layer_norm,prefill,4,101.87,25.47,[]
aten::linear,prefill,5,71.2,14.24,[]
aten::t,prefill,5,18.2,3.64,[]
aten::transpose,prefill,25,85.09,3.4,[]
aten::addmm,prefill,5,787.7,157.54,[]
aten::expand,prefill,5,17.96,3.59,[]
aten::resolve_conj,prefill,10,3.98,0.4,[]
aten::chunk,prefill,2,11.18,5.59,[]
aten::split,prefill,2,23.24,11.62,[]
aten::narrow,prefill,6,22.32,3.72,[]
aten::scaled_dot_product_attention,prefill,2,18.02,9.01,[]
aten::_scaled_dot_product_flash_attention_for_cpu,prefill,2,155.76,77.88,[]
aten::empty_like,prefill,2,10.06,5.03,[]
aten::randint,decode,1,23.13,23.13,[]
aten::empty,decode,20,31.2,1.56,[]
aten::random_,decode,1,16.67,16.67,[]
aten::embedding,decode,1,14.19,14.19,[]
aten::reshape,decode,3,8.96,2.99,[]
aten::view,decode,28,59.96,2.14,[]
aten::index_select,decode,1,18.7,18.7,[]
aten::select,decode,2,8.68,4.34,[]
aten::as_strided,decode,39,39.34,1.01,[]
aten::mul,decode,1,16.39,16.39,[]
aten::to,decode,1,2.26,2.26,[]
aten::_to_copy,decode,1,7.28,7.28,[]
aten::empty_strided,decode,3,11.07,3.69,[]
aten::copy_,decode,6,26.17,4.36,[]
aten::slice,decode,7,32.33,4.62,[]
aten::add,decode,5,32.91,6.58,[]
aten::layer_norm,decode,4,14.24,3.56,[]
aten::native_layer_norm,decode,4,54.11,13.53,[]
aten::linear,decode,5,64.85,12.97,[]
aten::t,decode,5,17.91,3.58,[]
aten::transpose,decode,25,75.89,3.04,[]
aten::addmm,decode,5,638.44,127.69,[]
aten::expand,decode,5,14.56,2.91,[]
aten::resolve_conj,decode,10,2.54,0.25,[]
aten::chunk,decode,2,9.53,4.77,[]
aten::split,decode,2,21.28,10.64,[]
aten::narrow,decode,6,19.82,3.3,[]
aten::scaled_dot_product_attention,decode,2,15.35,7.68,[]
aten::_scaled_dot_product_flash_attention_for_cpu,decode,2,61.81,30.91,[]
aten::empty_like,decode,2,7.67,3.83,[]
