t_ms,temp_C,arm_MHz,throttle_bits,rail_3V7_WL_SW_A current(0),rail_3V3_SYS_A current(1),rail_1V8_SYS_A current(2),rail_DDR_VDD2_A current(3),rail_DDR_VDDQ_A current(4),rail_1V1_SYS_A current(5),rail_0V8_SW_A current(6),rail_VDD_CORE_A current(7),rail_3V3_DAC_A current(17),rail_3V3_ADC_A current(18),rail_0V8_AON_A current(16),rail_HDMI_A current(22),rail_3V7_WL_SW_V volt(8),rail_3V3_SYS_V volt(9),rail_1V8_SYS_V volt(10),rail_DDR_VDD2_V volt(11),rail_DDR_VDDQ_V volt(12),rail_1V1_SYS_V volt(13),rail_0V8_SW_V volt(14),rail_VDD_CORE_V volt(15),rail_3V3_DAC_V volt(20),rail_3V3_ADC_V volt(21),rail_0V8_AON_V volt(19),rail_HDMI_V volt(23),rail_EXT5V_V volt(24),rail_BATT_V volt(25)
0.6241790251806378,54.9,1900,327680,0.097593,0.05270022,0.1746915,0.0097593,0.0,0.1883545,0.363046,2.00925,0.0,0.0,0.00335775,0.0135531,3.681217,3.317457,1.80415,1.109156,0.6003657,1.102197,0.802197,0.7220506,3.316846,3.311352,0.8008783,4.9781,4.97408,0.0
5073.085523035843,52.7,1600,327680,0.0,0.05465208,0.1698118,0.00780744,0.0,0.1873786,0.3415755,0.90193,0.0,0.0,0.00311355,0.0131868,3.710912,3.317457,1.805126,1.10879,0.6047613,1.112087,0.8010981,0.7225879,3.318678,3.312268,0.8008783,5.0384,5.03572,0.0
10129.730557033326,54.3,2400,327680,0.1161357,0.05367615,0.1776193,0.00390372,0.0,0.1912823,0.3405996,4.04529,0.0,0.0,0.00323565,0.0133089,3.651522,3.318385,1.805126,1.110255,0.6036624,1.110622,0.8029296,0.9304997,3.318678,3.311352,0.8008783,4.90306,4.85482,0.0
15193.069675005972,58.2,2400,327680,0.00097593,0.05074836,0.1756674,0.01073523,0.0,0.1883545,0.3396236,1.6967,0.0,0.0,0.0034188,0.0136752,3.70256,3.320241,1.803661,1.107325,0.6073254,1.108058,0.8025633,0.9283507,3.319594,3.311352,0.8008783,5.0049,5.00624,0.0
20249.348897021264,54.3,1500,327680,0.0195186,0.05465208,0.1688359,0.00390372,0.0,0.1883545,0.3415755,1.11625,0.0,0.0,0.00360195,0.0141636,3.710912,3.322097,1.806103,1.113918,0.6106221,1.111354,0.8029296,0.8184852,3.316846,3.311352,0.8005854,5.02768,5.02768,0.0
25308.821312035434,58.7,2400,327680,0.0,0.06050766,0.1756674,0.03610941,0.0,0.1873786,0.3474311,5.61697,0.0,0.0002442,0.00323565,0.0130647,3.639459,3.319313,1.804638,1.109889,0.6040287,1.102929,0.8036622,0.9294252,3.317762,3.310436,0.8008783,4.87224,4.86822,0.0
